광역지자체명,기초지자체명,기초지자체별 거주 방문자 비율
경기도,구리시,20.2
경기도,의정부시,14.8
경기도,하남시,11.6
경기도,가평군,7.4
경기도,포천시,6.3
경기도,양평군,5.5
경기도,양주시,4.6
경기도,성남시 수정구,2.5
경기도,광주시,2.3
경기도,파주시,2.2
경기도,고양시 덕양구,2.2
경기도,성남시 분당구,1.4
경기도,김포시,1.4
경기도,고양시 일산동구,1.3
경기도,용인시 처인구,1.1
경기도,시흥시,1.0
경기도,여주시,1.0
경기도,이천시,0.9
경기도,평택시,0.9
경기도,용인시 기흥구,0.9
경기도,성남시 중원구,0.7
경기도,동두천시,0.7
경기도,부천시 원미구,0.7
경기도,고양시 일산서구,0.6
경기도,용인시 수지구,0.6
경기도,안양시 동안구,0.6
경기도,수원시 영통구,0.5
경기도,안성시,0.5
경기도,수원시 권선구,0.5
경기도,광명시,0.5
경기도,오산시,0.4
경기도,연천군,0.4
경기도,안산시 단원구,0.4
경기도,수원시 팔달구,0.4
경기도,군포시,0.4
경기도,안양시 만안구,0.4
경기도,안산시 상록구,0.4
경기도,의왕시,0.4
경기도,과천시,0.3
경기도,수원시 장안구,0.3
경기도,부천시 소사구,0.3
경기도,부천시 오정구,0.3
서울특별시,노원구,16.1
서울특별시,송파구,10.4
서울특별시,중랑구,9.7
서울특별시,강동구,9.2
서울특별시,강남구,7.3
서울특별시,광진구,6.5
서울특별시,성북구,4.6
서울특별시,동대문구,4.5
서울특별시,성동구,4.0
서울특별시,도봉구,3.8
서울특별시,서초구,2.9
서울특별시,중구,2.9
서울특별시,마포구,2.6
서울특별시,강북구,2.2
서울특별시,용산구,2.0
서울특별시,종로구,1.8
서울특별시,영등포구,1.7
서울특별시,강서구,1.6
서울특별시,은평구,1.0
서울특별시,동작구,1.0
서울특별시,구로구,0.9
서울특별시,양천구,0.9
서울특별시,관악구,0.9
서울특별시,서대문구,0.9
서울특별시,금천구,0.6
인천광역시,서구,25.9
인천광역시,부평구,15.4
인천광역시,중구,14.1
인천광역시,계양구,13.1
인천광역시,남동구,10.8
인천광역시,연수구,9.4
인천광역시,미추홀구,8.5
인천광역시,강화군,2.1
인천광역시,동구,0.6
인천광역시,옹진군,0.1
강원특별자치도,춘천시,38.0
강원특별자치도,홍천군,13.6
강원특별자치도,원주시,12.9
강원특별자치도,철원군,5.1
강원특별자치도,강릉시,4.3
강원특별자치도,인제군,4.0
강원특별자치도,속초시,3.9
강원특별자치도,양양군,3.4
강원특별자치도,평창군,2.4
강원특별자치도,정선군,2.3
강원특별자치도,횡성군,2.2
강원특별자치도,고성군,2.1
강원특별자치도,동해시,1.6
강원특별자치도,화천군,1.5
강원특별자치도,양구군,0.8
강원특별자치도,태백시,0.7
강원특별자치도,삼척시,0.6
강원특별자치도,영월군,0.6
충청북도,충주시,26.8
충청남도,천안시 서북구,22.2
충청남도,아산시,17.1
충청북도,음성군,14.3
충청남도,천안시 동남구,13.4
충청북도,청주시 흥덕구,12.0
충청북도,청주시 청원구,10.3
충청북도,진천군,9.8
충청북도,청주시 서원구,7.3
충청남도,예산군,6.5
충청남도,태안군,6.5
충청남도,서산시,6.3
충청남도,당진시,5.6
충청북도,괴산군,5.0
충청북도,청주시 상당구,5.0
충청남도,부여군,4.9
