기준연월,1박,2박,3박,4박,5박,6박,7박이상,전체,전년 1박,전년 2박,전년 3박,전년 4박,전년 5박,전년 6박,전년 7박이상,전년 전체,전년 대비 1박 증감률,전년 대비 2박 증감률,전년 대비 3박 증감률,전년 대비 4박 증감률,전년 대비 5박 증감률,전년 대비 6박 증감률,전년 대비 7박이상 증감률,전년 대비 전체 증감률
202501,64.4,16.2,6.5,3.5,2.2,1.4,5.9,100.0,63.8,14.8,6.5,3.6,2.5,1.5,7.3,100.0,0.6,1.4,0.0,-0.1,-0.3,-0.1,-1.4,0.0
202502,63.5,14.0,6.1,3.8,2.7,1.7,8.2,100.0,65.0,16.3,6.4,3.4,2.0,1.3,5.6,100.0,-1.5,-2.3,-0.3,0.4,0.7,0.4,2.6,0.0
202503,63.4,15.3,6.4,3.5,2.4,1.5,7.6,100.0,64.1,15.2,5.7,3.3,2.5,1.7,7.5,100.0,-0.7,0.1,0.7,0.2,-0.1,-0.2,0.1,0.0
202504,64.1,16.4,6.6,3.1,1.9,1.3,6.6,100.0,66.8,15.5,5.6,3.0,1.9,1.3,5.9,100.0,-2.7,0.9,1.0,0.1,0.0,0.0,0.7,0.0
202505,64.4,14.2,5.9,3.3,2.2,1.5,8.4,100.0,66.1,15.6,6.0,3.1,2.1,1.3,5.7,100.0,-1.7,-1.4,-0.1,0.2,0.1,0.2,2.7,0.0
202506,65.3,14.9,5.7,3.2,2.1,1.5,7.2,100.0,65.7,15.6,5.6,3.2,2.1,1.5,6.3,100.0,-0.4,-0.7,0.1,0.0,0.0,0.0,0.9,0.0
202507,63.2,15.8,6.1,3.4,2.1,1.5,7.8,100.0,63.8,15.9,6.3,3.5,2.4,1.5,6.7,100.0,-0.6,-0.1,-0.2,-0.1,-0.3,0.0,1.1,0.0
202508,64.8,16.5,6.1,3.1,1.9,1.4,6.3,100.0,66.6,15.5,5.5,2.9,2.0,1.3,6.1,100.0,-1.8,1.0,0.6,0.2,-0.1,0.1,0.2,0.0
202509,64.4,15.2,5.7,3.5,2.3,1.6,7.2,100.0,65.7,15.6,6.0,3.3,2.2,1.3,5.9,100.0,-1.3,-0.4,-0.3,0.2,0.1,0.3,1.3,0.0
202510,62.1,16.9,7.1,3.9,2.5,1.6,6.0,100.0,64.5,15.5,6.5,3.6,2.2,1.4,6.3,100.0,-2.4,1.4,0.6,0.3,0.3,0.2,-0.3,0.0
202511,66.6,14.0,5.6,3.3,2.2,1.5,6.8,100.0,66.5,15.5,5.7,2.9,1.9,1.3,6.1,100.0,0.1,-1.5,-0.1,0.4,0.3,0.2,0.7,0.0
202512,63.6,15.0,6.5,3.6,2.4,1.5,7.3,100.0,65.0,14.5,6.0,3.3,2.2,1.5,7.5,100.0,-1.4,0.5,0.5,0.3,0.2,0.0,-0.2,0.0
