기준연월,업종대분류명,소비액(천원)
202512,전체,1.21162836E8
202501,전체,1.07610562E8
202502,전체,9.2850916E7
202503,전체,1.21465193E8
202504,전체,1.12493232E8
202505,전체,1.30599012E8
202506,전체,1.15552114E8
202507,전체,1.18524103E8
202508,전체,1.2345336E8
202509,전체,1.12863323E8
202510,전체,1.36534888E8
202511,전체,1.28977823E8
202510,운송업,1.607725E7
202508,숙박업,740088.0
202510,여행업,50921.0
202510,숙박업,638938.0
202509,식음료업,3.349648E7
202509,의료웰니스업,2137183.0
202509,여가서비스업,5693842.0
202509,쇼핑업,5.5103886E7
202509,운송업,1.5776507E7
202509,여행업,50894.0
202509,숙박업,604531.0
202508,식음료업,4.1801796E7
202508,의료웰니스업,2299193.0
202508,운송업,1.7207908E7
202508,여가서비스업,5558253.0
202508,쇼핑업,5.5758161E7
202508,여행업,87962.0
202507,식음료업,3.8377856E7
202511,의료웰니스업,2492200.0
202512,식음료업,3.5955105E7
202512,의료웰니스업,2668914.0
202512,여행업,5493.0
202512,여가서비스업,3049442.0
202512,쇼핑업,6.0994107E7
202512,운송업,1.779693E7
202512,숙박업,692844.0
202511,식음료업,3.6126486E7
202510,쇼핑업,7.0802416E7
202511,여가서비스업,5643182.0
202511,쇼핑업,6.6888814E7
202511,운송업,1.723899E7
202511,여행업,22814.0
202511,숙박업,565337.0
202510,식음료업,3.9646922E7
202510,의료웰니스업,2529221.0
202510,여가서비스업,6789219.0
202502,의료웰니스업,2303003.0
202504,여가서비스업,5848282.0
202504,쇼핑업,5.5434935E7
202504,숙박업,614015.0
202503,식음료업,3.6421649E7
202503,의료웰니스업,2294341.0
202503,운송업,1.4610296E7
202503,여가서비스업,5393844.0
202503,쇼핑업,6.196198E7
202503,여행업,128883.0
202503,숙박업,654200.0
202502,식음료업,2.7923322E7
202504,여행업,92667.0
202502,운송업,1.4240578E7
202502,여가서비스업,2809932.0
202502,쇼핑업,4.5021592E7
202502,여행업,7616.0
202502,숙박업,544873.0
202501,식음료업,3.1936682E7
202501,의료웰니스업,2517412.0
202501,운송업,1.4249185E7
202501,여행업,26672.0
202501,여가서비스업,2794570.0
202501,쇼핑업,5.5526803E7
202506,쇼핑업,5.4235662E7
202507,의료웰니스업,2118409.0
202507,운송업,1.7176521E7
202507,여가서비스업,5756895.0
202507,쇼핑업,5.4346299E7
202507,여행업,16730.0
202507,숙박업,731393.0
202506,식음료업,3.6802543E7
202506,의료웰니스업,1990736.0
202506,운송업,1.5121639E7
202506,여행업,9705.0
202506,여가서비스업,6783595.0
202501,숙박업,559238.0
202506,숙박업,608235.0
202505,식음료업,4.2398576E7
202505,의료웰니스업,2273936.0
202505,여가서비스업,7257574.0
202505,쇼핑업,6.1912264E7
202505,운송업,1.6002252E7
202505,여행업,89634.0
202505,숙박업,664776.0
202504,식음료업,3.389256E7
202504,의료웰니스업,1952901.0
202504,운송업,1.4657872E7
