기준연월,업종대분류명,소비액(천원)
202512,전체,1.1073011E7
202501,전체,8761065.0
202502,전체,7527485.0
202503,전체,9901619.0
202504,전체,9225828.0
202505,전체,1.0725847E7
202506,전체,9314406.0
202507,전체,8777921.0
202508,전체,8904023.0
202509,전체,9501881.0
202510,전체,1.2224237E7
202511,전체,1.1760942E7
202509,여행업,2528.0
202509,숙박업,218983.0
202509,운송업,2781.0
202509,쇼핑업,8454213.0
202509,여가서비스업,823376.0
202510,숙박업,209612.0
202510,여행업,20671.0
202510,운송업,4285.0
202510,쇼핑업,1.1128586E7
202510,여가서비스업,861083.0
202511,숙박업,176522.0
202511,여행업,2658.0
202511,운송업,1701.0
202511,쇼핑업,1.0903928E7
202511,여가서비스업,676132.0
202512,숙박업,242240.0
202512,운송업,2021.0
202512,쇼핑업,1.0337574E7
202512,여가서비스업,491177.0
202505,여행업,1.0
202501,쇼핑업,8033867.0
202501,여가서비스업,503687.0
202502,숙박업,197684.0
202502,여행업,4038.0
202502,쇼핑업,6870325.0
202502,여가서비스업,455438.0
202503,숙박업,224547.0
202503,여행업,2101.0
202503,쇼핑업,8936021.0
202503,여가서비스업,738951.0
202504,숙박업,213156.0
202504,쇼핑업,8238657.0
202504,여가서비스업,774015.0
202505,숙박업,240224.0
202501,숙박업,223510.0
202505,운송업,726.0
202505,쇼핑업,9495303.0
202505,여가서비스업,989593.0
202506,숙박업,194588.0
202506,쇼핑업,8231898.0
202506,여가서비스업,887920.0
202507,숙박업,232945.0
202507,여행업,7619.0
202507,쇼핑업,7736206.0
202507,여가서비스업,801151.0
202508,숙박업,275813.0
202508,여행업,3091.0
202508,쇼핑업,7703401.0
202508,여가서비스업,921718.0
