기준연월,동반유형명,언급건수
202509,기타가족,23145
202508,기타가족,21689
202510,기타가족,21514
202507,기타가족,20839
202505,기타가족,19353
202512,기타가족,18859
202511,기타가족,18454
202504,기타가족,18423
202506,기타가족,17910
202503,기타가족,16736
202501,기타가족,16359
202508,친구,14459
202502,기타가족,14224
202512,친구,14114
202509,친구,14007
202510,친구,13993
202507,친구,13671
202503,친구,13663
202511,친구,13205
202504,친구,12359
202512,부모님,12349
202506,친구,12118
202509,부모님,11738
202505,친구,11727
202510,부모님,11395
202505,부모님,11227
202507,부모님,11198
202501,친구,11152
202511,부모님,11152
202508,부모님,11145
202502,친구,10826
202504,부모님,10425
202503,부모님,10289
202506,부모님,10162
202504,회사동료,10067
202508,회사동료,9789
202509,회사동료,9713
202505,회사동료,9663
202507,회사동료,9591
202512,회사동료,9125
202502,부모님,9094
202503,회사동료,8594
202511,회사동료,8466
202510,회사동료,8415
202506,회사동료,8107
202508,자녀,7758
202502,회사동료,7258
202501,부모님,7226
202507,자녀,7163
202501,회사동료,6967
202509,자녀,6936
202510,자녀,6810
202512,자녀,6680
202503,자녀,6588
202504,자녀,6559
202502,자녀,6528
202505,자녀,6374
202511,자녀,6341
202501,자녀,6151
202506,자녀,5996
202509,싱글,5561
202508,싱글,5456
202510,싱글,5433
202507,싱글,5351
202512,싱글,5270
202511,싱글,5040
202506,싱글,4689
202505,싱글,4573
202503,싱글,4293
202504,싱글,4286
202508,배우자,4244
202509,배우자,4242
202507,배우자,4184
202504,연인,3729
202510,배우자,3657
202511,배우자,3605
202501,싱글,3597
202506,배우자,3585
202505,배우자,3553
202504,배우자,3491
202512,배우자,3445
202508,연인,3434
202510,연인,3422
202506,연인,3416
202505,연인,3393
202507,연인,3359
202502,싱글,3339
202503,배우자,3327
202503,연인,3217
202509,연인,3150
202512,연인,3090
202503,학생,3083
202502,배우자,3074
202511,연인,3065
202501,배우자,3021
202507,학생,2644
202502,학생,2623
202501,연인,2567
202504,학생,2496
202502,연인,2438
202505,학생,2200
202501,학생,2144
202506,학생,2098
202511,학생,2027
202510,학생,1942
202512,학생,1770
202509,학생,1748
202508,학생,1722
