기준연월,여행유형/트렌드명,언급건수
202507,휴식/힐링,9933
202510,휴식/힐링,9894
202505,휴식/힐링,9828
202506,휴식/힐링,9543
202504,휴식/힐링,9513
202508,휴식/힐링,8766
202509,휴식/힐링,8441
202511,휴식/힐링,8344
202503,휴식/힐링,8312
202512,휴식/힐링,7646
202507,레포츠,7256
202506,레포츠,6314
202508,레포츠,6134
202505,레포츠,5995
202504,레포츠,5650
202501,휴식/힐링,5645
202510,레포츠,5493
202503,레포츠,5489
202502,휴식/힐링,5155
202511,레포츠,5154
202509,레포츠,4926
202512,레포츠,4361
202501,레포츠,3633
202502,레포츠,3623
202504,기타,1220
202508,기타,1190
202503,기타,1177
202507,기타,1120
202506,기타,1093
202510,기타,1061
202505,기타,1038
202509,기타,1013
202512,기타,929
202502,기타,891
202511,기타,858
202501,기타,849
202508,체험,509
202503,체험,507
202507,체험,500
202506,체험,490
202505,체험,482
202504,체험,474
202511,체험,472
202510,체험,392
202509,체험,367
202510,미식,355
202501,체험,344
202509,미식,338
202511,미식,336
202502,체험,335
202507,미식,334
202506,미식,326
202508,미식,324
202512,미식,300
202505,미식,294
202504,미식,293
202501,미식,289
202503,미식,281
202502,미식,257
202512,체험,228
