순위,관광지ID,관광지명,분류
1,ada87aa9b57bf769bc6d77ecbba1b42a,현대프리미엄아울렛스페이스원,쇼핑몰
2,009b902832fc392217d4323479ef4462,다산현대프리미어캠퍼스몰,쇼핑몰
3,47e24d268ec933dc602374a3764b7183,평내호평역,교통시설
4,2877a0faf46794dc6525a95d109d5dca,물의정원,도시공원
5,f40635c3356e2b871c18a5bd2a9cce53,덕소역,교통시설
6,0e920c67c8c041f1cd6590d003879a76,퇴계원역,교통시설
7,0435f308328f4c0091fb9691f09e7854,봉선사,종교성지
8,86f4105e55527534028b9dd4e68bccad,한림광릉CC,육상레저스포츠
9,b35806970f8eabd2d4f82e9ef5a7944b,마석역,교통시설
10,43272dd196cc2eb2a6bc1ec7804f0baa,양주CC,육상레저스포츠
11,c9042516504596a3ffa1a7f7515f10b1,비전힐스CC,육상레저스포츠
12,c67db2b558f3d430c7be7f23dc477e85,남양주한강공원삼패지구,도시공원
13,5f3c83860374cdf42b5ce3513b5b9aed,수종사,종교성지
14,e03b60616408f891c725bc5246556e21,뽀로로테마파크다산위드트래블,테마공원
15,d30ced485abf8caee451a634a96d5506,스파디움24,웰니스관광
16,bd4bd94891ca790280cb672dbfd5dafb,다산정약용유적지,역사유적지
17,6976c2200fb009ff27b33a17a2d67555,남양주CC,육상레저스포츠
18,07a46c3fe6d7808ed79ea701415f617b,해비치CC,육상레저스포츠
19,254f28726de09c2255922a6770aa34d7,불암사,종교성지
20,61c3fabcc7719c011fd24ec929c5c4a3,축령산자연휴양림,자연공원
21,ac4d646f03d594627e85e983e524b870,오남저수지,자연경관(하천/해양)
22,0dd743cd3f21a91915684fe35983715b,CGV다산,공연시설
23,999bfc864a4a196655813d946fdf2c85,산들소리수목원,테마공원
24,62e1bc1755abf66375c66d5f5e8f8235,다산생태공원,도시공원
25,1263b98abfd4acd9323dc6c3d8828811,에코랜드야구장,레저스포츠시설
26,526d060be649d3966630e586188ad84f,메가박스남양주현대아울렛스페이스원,공연시설
27,a454cfe35e70f8c84b7fc3b3ae0ccc83,능내역폐역,교통시설
28,5565ff3d8991f4e5f141996b2fb96c35,다산정약용생가,역사유적지
29,3c1d8905e1fcbf471a36c307a095a628,소리소빌리지,기타문화관광지
30,2d97513afd6c396d2c5d3e124cf4b455,호텔더메이,호텔
31,23ff1a0527f36d2252fea7ef1d6285f6,블랙아이스링크장,기타레저스포츠
32,032d9bbffb5b02ccb304e9777e998ed6,더드림핑,캠핑
33,a75788b8298f82629cfc7f6a58693d76,물맑음수목원,자연공원
34,edb7e6ccdf9d29f07297b584c2b3aaf9,롯데시네마진접,공연시설
35,30fe4fc3a29bb337ec6d4602de634354,미호박물관,전시시설
36,ec620b4d101d2768bba1fa8c60fb567f,남양주한강체육공원,도시공원
37,076b62795412403e9a45f51908016710,덕소자연사박물관,전시시설
38,d86abdc0fb08d70c9717b3bbeb4f73a9,홍유릉,역사유적지
39,056c340f4084c708d4241f36dfae8ab4,화도낚시공원,수상레저스포츠
40,8ed7791b176fec1e4cfd5b1914b18422,롯데시네마별내,공연시설
41,c5cc42257cd3cce81af1ee65e7d4d6ee,메가박스별내,공연시설
42,517f24c02e620d5a4dac1db388664a63,광릉,역사유적지
43,cd82209bd94a590567ed7de38a71b0d7,피아노폭포,자연경관(산)
44,be1e0d9ad78bfabaf279afe412111bba,CGV남양주화도,공연시설
45,f708f0aa3c0333ef58e1d1f4fa0f4482,묘적사계곡,자연경관(산)
46,e76a39118d12b26a37e6051ce8aafad3,마석민속5일장,시장
47,b2cd0b1376787e116aff858b97350897,골드호텔,호텔
48,c2f51588241f94b2755d90e7eeb7efd1,임송캠프장,캠핑
49,505996282507e10021b8a4af9e54c72e,별내청학광형베이스볼파크,레저스포츠시설
50,f9a6abb0abc1a4eb8ed1f3ef226ef255,고고다이노키즈카페다산현대캠퍼스몰점,테마공원
51,db08cc0f0fbc62b078cf48faee2f77e7,먹골구장,레저스포츠시설
52,99af9f1cfe2f8e353dfdc797c0236ea2,묘적사,종교성지
53,be437e40c2da407ff64d9288dde4f0fb,남양주종합촬영소휴관,기타문화관광지
54,c1a33c2c116697af77a0dae292e792bb,오남호수공원,도시공원
55,28d068123a37def676219cd2ccc22265,브라운도트호텔남양주점,호텔
56,d444c15dc377cee88674b54ea6355d2e,에이원호텔,호텔
57,26c157e2c260656d3a6db1e000add0a0,청학문화공원,도시공원
57,8fb38f60b7f37ba0074dbf70e3499cc5,실학박물관,전시시설
59,bd0c8b0412185fe461f5656bee822cbb,프라움악기박물관,전시시설
60,1e4b47f9bf4fc45de71ec0a123d2262a,왈츠와닥터만커피박물관,전시시설
61,499b382fcfd222ee366ccc12dd88e640,강변비치호텔,모텔
62,96a9c8781a9b618bfca6b10d00604388,팔현캠프장,캠핑
63,072c24faa6c88a019393d17351e4e808,남양주별내빙상장,육상레저스포츠
64,a21e41fa5b0b10bfbd54a9b2cffbfbaf,메가박스남양주,공연시설
65,9a883adf55f115c17694e9be2b2eb9d8,다산체육공원축구장,레저스포츠시설
66,8ead0fa109e0a811d79672a93127cc69,바바호호텔,호텔
67,0d5e7932c41f5387c3636b106b654c78,청원고등학교야구장,체험관광기타
68,6ae3041b5527fd3165934076617bba89,지금푸른물센터축구장,레저스포츠시설
69,c81a0e6749509d493a867bc3d59c7f49,일패근린공원축구장,레저스포츠시설
70,6b8fc1f00649ce27eaea108773d7c468,남양주이패1야구장,레저스포츠시설
71,8778fbfab0355ff65baec33af7b30a49,몽골문화촌,복합관광시설
72,90e3e3a151c54d0fee6b32043afe1ac6,토리마루별내점,테마공원
73,b2121763680e1833f8cc43e0b5a5b21d,리버모텔,모텔
74,bcd0158ba0a9d66e0cbfe90a460717ba,광해군묘,역사유적지
75,4cce6d7a4171d1c759d9074958286d43,명품BB파크야구장,레저스포츠시설
76,dcdbc42c1821eeaa30bc7c2b12427710,수진사,종교성지
77,a511102c8f626ca8ac030c20aae29121,플레이월드다산점,테마공원
78,b88a505efc42777fa5398539b45ba7ea,테이블에이동물원다산점,테마공원
79,16c03aab8ee9db6cca48c96efd4129d5,다산중앙공원,도시공원
80,cf0e05b5442458556d87bebd1ccca8a9,남양주어린이비전센터,테마공원
81,7ae16f052ad8083667f105d9704a54ff,파워리그구장,레저스포츠시설
82,46b1d9fd9f551160c332eb68575c7191,에코랜드축구장,레저스포츠시설
83,e58a6134648cf8a284d1bcbcc39462df,청학승마클럽,육상레저스포츠
84,886452bd5c178f26e6a5ae268ae51028,저스트슬립호텔다산신도시점,호텔
85,d049f60652cd6392b4d0316144048cca,남양주별내야구장,레저스포츠시설
86,69b9ca61bf840cc824e4c22de899f8a1,제이브라운호텔다산점,호텔
87,91ff8f635fc3223e23fcd12304ac7de8,사릉,역사유적지
88,19e2b8cd27961f17c0bf62dfa66ff38f,크낙새축구장,레저스포츠시설
89,8fc6672444668122041887ef1ae9eb00,바바스몰,쇼핑몰
90,427014a1e24b6214ec883b1f99236263,별내체육공원축구장,레저스포츠시설
91,22c3e6ca02eaea03c032a9fdac6f3364,넘버25호텔남양주별내점,모텔
92,95d354dfee93601b4a5802d5024e939f,KB리그야구장,레저스포츠시설
93,514002b2d3cce8150ba6041a75f6784b,현대프리미엄아울렛스페이스원 B관,쇼핑몰
94,91ee578d6d8398a38fa6f7c564a8eb48,힐링별밤수목원캠핑장,캠핑
94,26006eadfe47ff94511742b404e27d05,별내체육공원,도시공원
96,d4f3129ec57f807822db60738b1ce5e2,청학동계곡,자연경관(산)
97,7567ccfae388ad6c08f9cab444496258,수동계곡,자연경관(산)
98,d156635df67a37c41420843da993c860,금선사,종교성지
99,7d33f4e6bf1cbb783bd06c732dcaa611,궁집,역사유적지
100,ac941861d073630dbc28f76494c3557a,서경청소년수련원,육상레저스포츠
