순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,남양주시,축령산자연휴양림,202501,3976,25540.0
1,경기도,남양주시,축령산자연휴양림,202502,8157,25540.0
1,경기도,남양주시,축령산자연휴양림,202503,13407,25540.0
1,경기도,남양주시,축령산자연휴양림,202504,-,25540.0
1,경기도,남양주시,축령산자연휴양림,202505,-,25540.0
1,경기도,남양주시,축령산자연휴양림,202506,-,25540.0
1,경기도,남양주시,축령산자연휴양림,202507,-,25540.0
1,경기도,남양주시,축령산자연휴양림,202508,-,25540.0
1,경기도,남양주시,축령산자연휴양림,202509,-,25540.0
1,경기도,남양주시,축령산자연휴양림,202510,-,25540.0
1,경기도,남양주시,축령산자연휴양림,202511,-,25540.0
1,경기도,남양주시,축령산자연휴양림,202512,-,25540.0
2,경기도,남양주시,광릉,202501,6032,21129.0
2,경기도,남양주시,광릉,202502,4342,21129.0
2,경기도,남양주시,광릉,202503,10755,21129.0
2,경기도,남양주시,광릉,202504,-,21129.0
2,경기도,남양주시,광릉,202505,-,21129.0
2,경기도,남양주시,광릉,202506,-,21129.0
2,경기도,남양주시,광릉,202507,-,21129.0
2,경기도,남양주시,광릉,202508,-,21129.0
2,경기도,남양주시,광릉,202509,-,21129.0
2,경기도,남양주시,광릉,202510,-,21129.0
2,경기도,남양주시,광릉,202511,-,21129.0
2,경기도,남양주시,광릉,202512,-,21129.0
3,경기도,남양주시,남양주시립박물관,202501,4712,13685.0
3,경기도,남양주시,남양주시립박물관,202502,4278,13685.0
3,경기도,남양주시,남양주시립박물관,202503,4695,13685.0
3,경기도,남양주시,남양주시립박물관,202504,-,13685.0
3,경기도,남양주시,남양주시립박물관,202505,-,13685.0
3,경기도,남양주시,남양주시립박물관,202506,-,13685.0
3,경기도,남양주시,남양주시립박물관,202507,-,13685.0
3,경기도,남양주시,남양주시립박물관,202508,-,13685.0
3,경기도,남양주시,남양주시립박물관,202509,-,13685.0
3,경기도,남양주시,남양주시립박물관,202510,-,13685.0
3,경기도,남양주시,남양주시립박물관,202511,-,13685.0
3,경기도,남양주시,남양주시립박물관,202512,-,13685.0
4,경기도,남양주시,홍유릉,202501,3310,10476.0
4,경기도,남양주시,홍유릉,202502,2720,10476.0
4,경기도,남양주시,홍유릉,202503,4446,10476.0
4,경기도,남양주시,홍유릉,202504,-,10476.0
4,경기도,남양주시,홍유릉,202505,-,10476.0
4,경기도,남양주시,홍유릉,202506,-,10476.0
4,경기도,남양주시,홍유릉,202507,-,10476.0
4,경기도,남양주시,홍유릉,202508,-,10476.0
4,경기도,남양주시,홍유릉,202509,-,10476.0
4,경기도,남양주시,홍유릉,202510,-,10476.0
4,경기도,남양주시,홍유릉,202511,-,10476.0
4,경기도,남양주시,홍유릉,202512,-,10476.0
5,경기도,남양주시,광릉컨트리클럽,202501,1775,9877.0
5,경기도,남양주시,광릉컨트리클럽,202502,1466,9877.0
5,경기도,남양주시,광릉컨트리클럽,202503,6636,9877.0
5,경기도,남양주시,광릉컨트리클럽,202504,-,9877.0
5,경기도,남양주시,광릉컨트리클럽,202505,-,9877.0
5,경기도,남양주시,광릉컨트리클럽,202506,-,9877.0
5,경기도,남양주시,광릉컨트리클럽,202507,-,9877.0
5,경기도,남양주시,광릉컨트리클럽,202508,-,9877.0
5,경기도,남양주시,광릉컨트리클럽,202509,-,9877.0
5,경기도,남양주시,광릉컨트리클럽,202510,-,9877.0
5,경기도,남양주시,광릉컨트리클럽,202511,-,9877.0
5,경기도,남양주시,광릉컨트리클럽,202512,-,9877.0
6,경기도,남양주시,양주컨트리클럽,202501,366,8233.0
6,경기도,남양주시,양주컨트리클럽,202502,905,8233.0
6,경기도,남양주시,양주컨트리클럽,202503,6962,8233.0
6,경기도,남양주시,양주컨트리클럽,202504,-,8233.0
6,경기도,남양주시,양주컨트리클럽,202505,-,8233.0
6,경기도,남양주시,양주컨트리클럽,202506,-,8233.0
6,경기도,남양주시,양주컨트리클럽,202507,-,8233.0
6,경기도,남양주시,양주컨트리클럽,202508,-,8233.0
6,경기도,남양주시,양주컨트리클럽,202509,-,8233.0
6,경기도,남양주시,양주컨트리클럽,202510,-,8233.0
6,경기도,남양주시,양주컨트리클럽,202511,-,8233.0
6,경기도,남양주시,양주컨트리클럽,202512,-,8233.0
7,경기도,남양주시,비전힐스컨트리클럽,202501,0,5853.0
7,경기도,남양주시,비전힐스컨트리클럽,202502,502,5853.0
7,경기도,남양주시,비전힐스컨트리클럽,202503,5351,5853.0
7,경기도,남양주시,비전힐스컨트리클럽,202504,-,5853.0
7,경기도,남양주시,비전힐스컨트리클럽,202505,-,5853.0
7,경기도,남양주시,비전힐스컨트리클럽,202506,-,5853.0
7,경기도,남양주시,비전힐스컨트리클럽,202507,-,5853.0
7,경기도,남양주시,비전힐스컨트리클럽,202508,-,5853.0
7,경기도,남양주시,비전힐스컨트리클럽,202509,-,5853.0
7,경기도,남양주시,비전힐스컨트리클럽,202510,-,5853.0
7,경기도,남양주시,비전힐스컨트리클럽,202511,-,5853.0
7,경기도,남양주시,비전힐스컨트리클럽,202512,-,5853.0
8,경기도,남양주시,우석헌자연사박물관,202501,2333,5815.0
8,경기도,남양주시,우석헌자연사박물관,202502,1808,5815.0
8,경기도,남양주시,우석헌자연사박물관,202503,1674,5815.0
8,경기도,남양주시,우석헌자연사박물관,202504,-,5815.0
8,경기도,남양주시,우석헌자연사박물관,202505,-,5815.0
8,경기도,남양주시,우석헌자연사박물관,202506,-,5815.0
8,경기도,남양주시,우석헌자연사박물관,202507,-,5815.0
8,경기도,남양주시,우석헌자연사박물관,202508,-,5815.0
8,경기도,남양주시,우석헌자연사박물관,202509,-,5815.0
8,경기도,남양주시,우석헌자연사박물관,202510,-,5815.0
8,경기도,남양주시,우석헌자연사박물관,202511,-,5815.0
8,경기도,남양주시,우석헌자연사박물관,202512,-,5815.0
9,경기도,남양주시,서호미술관,202501,529,1453.0
9,경기도,남양주시,서호미술관,202502,519,1453.0
9,경기도,남양주시,서호미술관,202503,405,1453.0
9,경기도,남양주시,서호미술관,202504,-,1453.0
9,경기도,남양주시,서호미술관,202505,-,1453.0
9,경기도,남양주시,서호미술관,202506,-,1453.0
9,경기도,남양주시,서호미술관,202507,-,1453.0
9,경기도,남양주시,서호미술관,202508,-,1453.0
9,경기도,남양주시,서호미술관,202509,-,1453.0
9,경기도,남양주시,서호미술관,202510,-,1453.0
9,경기도,남양주시,서호미술관,202511,-,1453.0
9,경기도,남양주시,서호미술관,202512,-,1453.0
10,경기도,남양주시,몽골문화촌,202501,182,599.0
10,경기도,남양주시,몽골문화촌,202502,219,599.0
10,경기도,남양주시,몽골문화촌,202503,198,599.0
10,경기도,남양주시,몽골문화촌,202504,-,599.0
10,경기도,남양주시,몽골문화촌,202505,-,599.0
10,경기도,남양주시,몽골문화촌,202506,-,599.0
10,경기도,남양주시,몽골문화촌,202507,-,599.0
10,경기도,남양주시,몽골문화촌,202508,-,599.0
10,경기도,남양주시,몽골문화촌,202509,-,599.0
10,경기도,남양주시,몽골문화촌,202510,-,599.0
10,경기도,남양주시,몽골문화촌,202511,-,599.0
10,경기도,남양주시,몽골문화촌,202512,-,599.0
11,경기도,남양주시,모란미술관,202501,0,366.0
11,경기도,남양주시,모란미술관,202502,0,366.0
11,경기도,남양주시,모란미술관,202503,366,366.0
11,경기도,남양주시,모란미술관,202504,-,366.0
11,경기도,남양주시,모란미술관,202505,-,366.0
11,경기도,남양주시,모란미술관,202506,-,366.0
11,경기도,남양주시,모란미술관,202507,-,366.0
11,경기도,남양주시,모란미술관,202508,-,366.0
11,경기도,남양주시,모란미술관,202509,-,366.0
11,경기도,남양주시,모란미술관,202510,-,366.0
11,경기도,남양주시,모란미술관,202511,-,366.0
11,경기도,남양주시,모란미술관,202512,-,366.0
