addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
경기도 남양주시 강변북로632번길 57-28 (수석동),,,,,,798518,39,20090907191546,https://tong.visitkorea.or.kr/cms/resource/99/3568799_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/99/3568799_image3_1.jpg,Type3,127.17413422606715,37.58774484472282,6.0,20260417133837,,,가든갤러리,12268,41,360.0,FD,FD02,FD020300
경기도 남양주시 화도읍 북한강로1570번길 16,,,,,,3045767,28,20231122100649,https://tong.visitkorea.or.kr/cms/resource/53/3045753_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/53/3045753_image3_1.JPG,Type3,127.36800164257528,37.64767052809853,6.0,20260408150146,,,가람수상스키,12193,41,360.0,LS,LS02,LS021400
경기도 남양주시 수동면 비룡로 1603,,31.0,A03,A0302,A03021700,2738718,28,20210901200909,http://tong.visitkorea.or.kr/cms/resource/41/2739041_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/41/2739041_image3_1.JPG,Type3,127.2736720245,37.7559681143,6.0,20250513155541,9.0,,가족쉼터,12024,41,360.0,AC,AC05,AC050100
경기도 남양주시 조안면 다산로747번길 45,,31.0,A05,A0502,A05020100,133832,39,20040220090000,,,,127.3029706666,37.5175657918,6.0,20250404132937,9.0,,감나무집,12283,41,360.0,FD,FD01,FD010100
경기도 남양주시 와부읍 경강로 876,,,,,,134729,39,20041201090000,,,,127.234925291906,37.559513912908,6.0,20260317101258,,,개성집,12277,41,360.0,FD,FD01,FD010100
경기도 남양주시 다산순환로 50 (다산동),2층,,,,,4012032,38,20260205113935,https://tong.visitkorea.or.kr/cms/resource/22/4024322_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/22/4024322_image3_1.jpeg,Type3,127.152429100255,37.616257926116,,20260330091611,,,게스 현대프리미엄아울렛 스페이스원점,12248,41,360.0,SH,SH04,SH040300
경기도 남양주시 경춘로1256번길 25 (평내동),,,,,,3013802,28,20230921142919,https://tong.visitkorea.or.kr/cms/resource/69/3012269_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/69/3012269_image3_1.jpg,Type3,127.23647396838952,37.64517597201543,6.0,20260428113907,,,고고랜드 남양주점,12222,41,360.0,LS,LS01,LS010100
경기도 남양주시 조안면 북한강로 998,,,,,,3017976,28,20231005114421,https://tong.visitkorea.or.kr/cms/resource/66/4059866_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/66/4059866_image3_1.JPG,Type3,127.34166307508166,37.60489056097103,6.0,20260424091626,,,고노골수상레저,12278,41,360.0,LS,LS02,LS021400
경기도 남양주시 조안면 북한강로 121,,31.0,A05,A0502,A05020900,802182,39,20090912020621,,,,127.3027007173,37.5360469761,6.0,20250404115644,9.0,,고당,12282,41,360.0,FD,FD05,FD050100
경기도 남양주시 강변북로 716 (수석동),,31.0,A05,A0502,A05020100,2867755,39,20221014154937,http://tong.visitkorea.or.kr/cms/resource/40/2867740_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/40/2867740_image3_1.JPG,Type3,127.174021896,37.5932241135,6.0,20250513131048,9.0,,고향가는길,12268,41,360.0,FD,FD01,FD010100
