기준연월,목적지 유형,목적지 검색량
202501,전체,573035
202502,전체,516926
202503,전체,674264
202504,전체,642370
202505,전체,769332
202506,전체,715548
202507,전체,708740
202508,전체,775448
202509,전체,631307
202510,전체,1079211
202511,전체,706262
202512,전체,597408
202501,기타관광,39605
202502,기타관광,35160
202503,기타관광,41872
202504,기타관광,41705
202505,기타관광,46127
202506,기타관광,42602
202507,기타관광,41853
202508,기타관광,43193
202509,기타관광,40924
202510,기타관광,61364
202511,기타관광,43857
202512,기타관광,38269
202501,레저스포츠,11928
202502,레저스포츠,12077
202503,레저스포츠,24799
202504,레저스포츠,30451
202505,레저스포츠,34509
202506,레저스포츠,35184
202507,레저스포츠,31867
202508,레저스포츠,31238
202509,레저스포츠,31756
202510,레저스포츠,50451
202511,레저스포츠,30857
202512,레저스포츠,12744
202501,문화관광,38480
202502,문화관광,36567
202503,문화관광,49781
202504,문화관광,52282
202505,문화관광,65965
202506,문화관광,64807
202507,문화관광,53555
202508,문화관광,65204
202509,문화관광,57983
202510,문화관광,99609
202511,문화관광,62173
202512,문화관광,44369
202501,쇼핑,72958
202502,쇼핑,65159
202503,쇼핑,82432
202504,쇼핑,71868
202505,쇼핑,81659
202506,쇼핑,71374
202507,쇼핑,73476
202508,쇼핑,76407
202509,쇼핑,69790
202510,쇼핑,125265
202511,쇼핑,90115
202512,쇼핑,86918
202501,숙박,13393
202502,숙박,12710
202503,숙박,16727
202504,숙박,17343
202505,숙박,21969
202506,숙박,20608
202507,숙박,21195
202508,숙박,23512
202509,숙박,17033
202510,숙박,30408
202511,숙박,19672
202512,숙박,14978
202501,역사관광,15829
202502,역사관광,12627
202503,역사관광,17806
202504,역사관광,20759
202505,역사관광,27148
202506,역사관광,21255
202507,역사관광,17086
202508,역사관광,20406
202509,역사관광,19164
202510,역사관광,39138
202511,역사관광,29819
202512,역사관광,13634
202501,음식,370544
202502,음식,333544
202503,음식,429771
202504,음식,395747
202505,음식,475464
202506,음식,445082
202507,음식,454551
202508,음식,497903
202509,음식,383878
202510,음식,652036
202511,음식,416661
202512,음식,378563
202501,자연관광,3942
202502,자연관광,3891
202503,자연관광,5840
202504,자연관광,7112
202505,자연관광,11232
202506,자연관광,9787
202507,자연관광,10810
202508,자연관광,12770
202509,자연관광,6468
202510,자연관광,11651
202511,자연관광,7828
202512,자연관광,3580
202501,체험관광,6356
202502,체험관광,5191
202503,체험관광,5236
202504,체험관광,5103
202505,체험관광,5259
202506,체험관광,4849
202507,체험관광,4347
202508,체험관광,4815
202509,체험관광,4311
202510,체험관광,9289
202511,체험관광,5280
202512,체험관광,4353
