기준연월,지역명,체류시간
202501,전국 기초지자체별 평균,1096.0
202501,남양주시,1313.0
202502,전국 기초지자체별 평균,1039.0
202502,남양주시,1259.0
202503,전국 기초지자체별 평균,1314.0
202503,남양주시,1436.0
202504,전국 기초지자체별 평균,880.0
202504,남양주시,1066.0
202505,전국 기초지자체별 평균,1215.0
202505,남양주시,1469.0
202506,전국 기초지자체별 평균,935.0
202506,남양주시,1107.0
202507,전국 기초지자체별 평균,1078.0
202507,남양주시,1311.0
202508,전국 기초지자체별 평균,1013.0
202508,남양주시,1149.0
202509,전국 기초지자체별 평균,1070.0
202509,남양주시,1142.0
202510,전국 기초지자체별 평균,1026.0
202510,남양주시,1222.0
202511,전국 기초지자체별 평균,899.0
202511,남양주시,1068.0
202512,전국 기초지자체별 평균,1006.0
202512,남양주시,1326.0
