기준연월,업종대분류명,소비액(천원)
202512,전체,1.10089824E8
202501,전체,9.8849497E7
202502,전체,8.5323431E7
202503,전체,1.11563574E8
202504,전체,1.03267404E8
202505,전체,1.19873165E8
202506,전체,1.06237708E8
202507,전체,1.09746182E8
202508,전체,1.14549337E8
202509,전체,1.03361442E8
202510,전체,1.24310651E8
202511,전체,1.17216882E8
202510,운송업,1.6072966E7
202508,숙박업,464275.0
202510,여행업,30250.0
202510,숙박업,429326.0
202509,식음료업,3.349648E7
202509,의료웰니스업,2137183.0
202509,여가서비스업,4870466.0
202509,쇼핑업,4.6649673E7
202509,운송업,1.5773726E7
202509,여행업,48366.0
202509,숙박업,385549.0
202508,식음료업,4.1801796E7
202508,의료웰니스업,2299193.0
202508,여가서비스업,4636535.0
202508,쇼핑업,4.805476E7
202508,운송업,1.7207908E7
202508,여행업,84871.0
202507,식음료업,3.8377856E7
202511,의료웰니스업,2492200.0
202512,식음료업,3.5955105E7
202512,의료웰니스업,2668914.0
202512,여가서비스업,2558265.0
202512,쇼핑업,5.0656533E7
202512,운송업,1.7794909E7
202512,여행업,5493.0
202512,숙박업,450604.0
202511,식음료업,3.6126486E7
202510,쇼핑업,5.967383E7
202511,여가서비스업,4967050.0
202511,쇼핑업,5.5984886E7
202511,운송업,1.7237289E7
202511,여행업,20155.0
202511,숙박업,388816.0
202510,식음료업,3.9646922E7
202510,의료웰니스업,2529221.0
202510,여가서비스업,5928137.0
202502,의료웰니스업,2303003.0
202504,운송업,1.4657872E7
202504,여행업,92667.0
202504,숙박업,400859.0
202503,식음료업,3.6421649E7
202503,의료웰니스업,2294341.0
202503,여가서비스업,4654893.0
202503,쇼핑업,5.302596E7
202503,운송업,1.4610296E7
202503,여행업,126782.0
202503,숙박업,429653.0
202502,식음료업,2.7923322E7
202504,쇼핑업,4.7196278E7
202502,여가서비스업,2354494.0
202502,쇼핑업,3.8151267E7
202502,운송업,1.4240578E7
202502,여행업,3578.0
202502,숙박업,347189.0
202501,식음료업,3.1936682E7
202501,의료웰니스업,2517412.0
202501,여가서비스업,2290884.0
202501,쇼핑업,4.7492935E7
202501,운송업,1.4249185E7
202501,여행업,26672.0
202506,여행업,9705.0
202507,의료웰니스업,2118409.0
202507,여가서비스업,4955744.0
202507,쇼핑업,4.6610093E7
202507,운송업,1.7176521E7
202507,여행업,9111.0
202507,숙박업,498448.0
202506,식음료업,3.6802543E7
202506,의료웰니스업,1990736.0
202506,여가서비스업,5895675.0
202506,쇼핑업,4.6003764E7
202506,운송업,1.5121639E7
202501,숙박업,335728.0
202506,숙박업,413647.0
202505,식음료업,4.2398576E7
202505,의료웰니스업,2273936.0
202505,여가서비스업,6267980.0
202505,쇼핑업,5.2416961E7
202505,운송업,1.6001526E7
202505,여행업,89634.0
202505,숙박업,424552.0
202504,식음료업,3.389256E7
202504,의료웰니스업,1952901.0
202504,여가서비스업,5074267.0
