유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
자연관광,자연경관(하천/해양),1.1,29.3
자연관광,자연공원,1.1,36.2
자연관광,자연경관(산),1.1,34.5
역사관광,역사유적지,3.0,33.7
역사관광,종교성지,3.0,66.3
체험관광,공예체험,0.8,1.7
체험관광,농/산/어촌체험,0.8,40.8
체험관광,웰니스관광,0.8,45.4
체험관광,체험관광기타,0.8,12.2
문화관광,기타문화관광지,8.2,3.9
문화관광,도시공원,8.2,31.2
문화관광,복합관광시설,8.2,2.2
문화관광,테마공원,8.2,19.3
문화관광,레저스포츠시설,8.2,17.6
문화관광,공연시설,8.2,18.9
문화관광,전시시설,8.2,6.9
문화관광,도시/지역문화관광,8.2,0.1
레저스포츠,항공레저스포츠,4.0,0.0
레저스포츠,육상레저스포츠,4.0,67.7
레저스포츠,기타레저스포츠,4.0,18.1
레저스포츠,수상레저스포츠,4.0,14.2
쇼핑,쇼핑몰,11.5,98.7
쇼핑,기타쇼핑시설,11.5,0.0
쇼핑,시장,11.5,1.3
음식,카페/찻집,62.4,32.6
음식,간이음식,62.4,8.3
음식,외국식,62.4,4.8
음식,음식점기타,62.4,0.9
음식,전문음식,62.4,17.9
음식,한식,62.4,35.5
숙박,펜션/민박,2.7,16.8
숙박,기타숙박,2.7,0.0
숙박,캠핑,2.7,23.4
숙박,호텔,2.7,26.1
숙박,호스텔,2.7,2.3
숙박,모텔,2.7,31.4
기타관광,교통시설,6.2,99.2
기타관광,데이트코스,6.2,0.0
기타관광,기타관광,6.2,0.8
