순위,관광지ID,관광지명,분류
1,ada87aa9b57bf769bc6d77ecbba1b42a,현대프리미엄아울렛스페이스원,쇼핑몰
2,009b902832fc392217d4323479ef4462,다산현대프리미어캠퍼스몰,쇼핑몰
3,47e24d268ec933dc602374a3764b7183,평내호평역,교통시설
4,0e920c67c8c041f1cd6590d003879a76,퇴계원역,교통시설
5,f40635c3356e2b871c18a5bd2a9cce53,덕소역,교통시설
6,b35806970f8eabd2d4f82e9ef5a7944b,마석역,교통시설
7,0435f308328f4c0091fb9691f09e7854,봉선사,종교성지
8,0dd743cd3f21a91915684fe35983715b,CGV다산,공연시설
9,2877a0faf46794dc6525a95d109d5dca,물의정원,도시공원
10,c67db2b558f3d430c7be7f23dc477e85,남양주한강공원삼패지구,도시공원
11,edb7e6ccdf9d29f07297b584c2b3aaf9,롯데시네마진접,공연시설
12,ac4d646f03d594627e85e983e524b870,오남저수지,자연경관(하천/해양)
13,86f4105e55527534028b9dd4e68bccad,한림광릉CC,육상레저스포츠
14,e03b60616408f891c725bc5246556e21,뽀로로테마파크다산위드트래블,테마공원
15,9c2022d01f26a751db23485517773617,오남체육문화센터,기타레저스포츠
16,43272dd196cc2eb2a6bc1ec7804f0baa,양주CC,육상레저스포츠
17,c9042516504596a3ffa1a7f7515f10b1,비전힐스CC,육상레저스포츠
18,6976c2200fb009ff27b33a17a2d67555,남양주CC,육상레저스포츠
19,be1e0d9ad78bfabaf279afe412111bba,CGV남양주화도,공연시설
20,bd4bd94891ca790280cb672dbfd5dafb,다산정약용유적지,역사유적지
21,254f28726de09c2255922a6770aa34d7,불암사,종교성지
22,5f3c83860374cdf42b5ce3513b5b9aed,수종사,종교성지
23,8ed7791b176fec1e4cfd5b1914b18422,롯데시네마별내,공연시설
24,a21e41fa5b0b10bfbd54a9b2cffbfbaf,메가박스남양주,공연시설
25,d30ced485abf8caee451a634a96d5506,스파디움24,웰니스관광
26,a75788b8298f82629cfc7f6a58693d76,물맑음수목원,자연공원
27,072c24faa6c88a019393d17351e4e808,남양주별내빙상장,육상레저스포츠
28,61c3fabcc7719c011fd24ec929c5c4a3,축령산자연휴양림,자연공원
29,999bfc864a4a196655813d946fdf2c85,산들소리수목원,테마공원
30,07a46c3fe6d7808ed79ea701415f617b,해비치CC,육상레저스포츠
31,c5cc42257cd3cce81af1ee65e7d4d6ee,메가박스별내,공연시설
32,d86abdc0fb08d70c9717b3bbeb4f73a9,홍유릉,역사유적지
33,1263b98abfd4acd9323dc6c3d8828811,에코랜드야구장,레저스포츠시설
34,c2f51588241f94b2755d90e7eeb7efd1,임송캠프장,캠핑
35,cd82209bd94a590567ed7de38a71b0d7,피아노폭포,자연경관(산)
36,16c03aab8ee9db6cca48c96efd4129d5,다산중앙공원,도시공원
37,526d060be649d3966630e586188ad84f,메가박스남양주현대아울렛스페이스원,공연시설
38,2d97513afd6c396d2c5d3e124cf4b455,호텔더메이,호텔
39,3c1d8905e1fcbf471a36c307a095a628,소리소빌리지,기타문화관광지
40,cf0e05b5442458556d87bebd1ccca8a9,남양주어린이비전센터,테마공원
41,f43ed785c98cb82827abb1862cbbbfe1,씨네큐남양주다산점,공연시설
42,e76a39118d12b26a37e6051ce8aafad3,마석민속5일장,시장
43,056c340f4084c708d4241f36dfae8ab4,화도낚시공원,수상레저스포츠
44,c1a33c2c116697af77a0dae292e792bb,오남호수공원,도시공원
45,032d9bbffb5b02ccb304e9777e998ed6,더드림핑,캠핑
46,62e1bc1755abf66375c66d5f5e8f8235,다산생태공원,도시공원
47,5a1fe943ef2add6f9078df176412699b,정약용펀그라운드유스호스텔,호스텔
48,a511102c8f626ca8ac030c20aae29121,플레이월드다산점,테마공원
49,7073ecee32a779649cb8a28eb62fd436,황금산문화공원,도시공원
50,c81a0e6749509d493a867bc3d59c7f49,일패근린공원축구장,레저스포츠시설
51,f9a6abb0abc1a4eb8ed1f3ef226ef255,고고다이노키즈카페다산현대캠퍼스몰점,테마공원
52,99af9f1cfe2f8e353dfdc797c0236ea2,묘적사,종교성지
53,8778fbfab0355ff65baec33af7b30a49,몽골문화촌,복합관광시설
54,b4e04552948d95f99bb28efb9f3c490f,꼬꼬마마,테마공원
55,7d33f4e6bf1cbb783bd06c732dcaa611,궁집,역사유적지
56,fad5eb5a7945701e617e7603a692d4d2,다산아트홀,공연시설
57,db08cc0f0fbc62b078cf48faee2f77e7,먹골구장,레저스포츠시설
58,a454cfe35e70f8c84b7fc3b3ae0ccc83,능내역폐역,교통시설
59,cdb7ba06c7788693b7f9582f5cb91c43,도농체육공원,도시공원
60,9a883adf55f115c17694e9be2b2eb9d8,다산체육공원축구장,레저스포츠시설
61,135acc17fe7927f3b07a4cc6b69e0b04,오남체육공원,도시공원
62,5565ff3d8991f4e5f141996b2fb96c35,다산정약용생가,역사유적지
63,d444c15dc377cee88674b54ea6355d2e,에이원호텔,호텔
64,91ff8f635fc3223e23fcd12304ac7de8,사릉,역사유적지
65,30fe4fc3a29bb337ec6d4602de634354,미호박물관,전시시설
66,dcdbc42c1821eeaa30bc7c2b12427710,수진사,종교성지
67,f708f0aa3c0333ef58e1d1f4fa0f4482,묘적사계곡,자연경관(산)
68,38d49346d15a3c1eabcb0538988fd572,진건푸른물센터,기타문화관광지
69,90e3e3a151c54d0fee6b32043afe1ac6,토리마루별내점,테마공원
70,fd11b57a748be79c9ab54b5df4c9d893,다산수변공원,도시공원
71,ac941861d073630dbc28f76494c3557a,서경청소년수련원,육상레저스포츠
72,7c66a7efe419e0738827e77adf09df90,비스타밸리,농/산/어촌체험
73,69b9ca61bf840cc824e4c22de899f8a1,제이브라운호텔다산점,호텔
74,b2cd0b1376787e116aff858b97350897,골드호텔,호텔
75,bd0c8b0412185fe461f5656bee822cbb,프라움악기박물관,전시시설
76,28d068123a37def676219cd2ccc22265,브라운도트호텔남양주점,호텔
77,26c157e2c260656d3a6db1e000add0a0,청학문화공원,도시공원
78,c2075c96e6d398c90fb2db66254d9536,남양주시 화도읍 묵현리스키장마을,역사유적지
79,19e2b8cd27961f17c0bf62dfa66ff38f,크낙새축구장,레저스포츠시설
80,8fb38f60b7f37ba0074dbf70e3499cc5,실학박물관,전시시설
81,b940128df65e798f1dc4b56eb0c3b204,약대울체육공원,도시공원
82,b0d700da1bfcbd7900facfc2978b7209,덕소승마클럽,육상레저스포츠
83,e6149c31a39b224cedb96ddc82d3bee6,해자연캠핑장,캠핑
84,505996282507e10021b8a4af9e54c72e,별내청학광형베이스볼파크,레저스포츠시설
85,076b62795412403e9a45f51908016710,덕소자연사박물관,전시시설
86,4995da43ee770545c30caaad4ca2d1ee,도농역,교통시설
87,ec620b4d101d2768bba1fa8c60fb567f,남양주한강체육공원,도시공원
88,8ead0fa109e0a811d79672a93127cc69,바바호호텔,호텔
89,517f24c02e620d5a4dac1db388664a63,광릉,역사유적지
90,4a01ca6a0512641f41f36daeb6d18114,일패근린공원,도시공원
91,be437e40c2da407ff64d9288dde4f0fb,남양주종합촬영소휴관,기타문화관광지
92,99fb6a74ba00044b8ee34b05194ab4ba,수동가족쉼터,캠핑
93,886452bd5c178f26e6a5ae268ae51028,저스트슬립호텔다산신도시점,호텔
94,8fc6672444668122041887ef1ae9eb00,바바스몰,쇼핑몰
95,b88a505efc42777fa5398539b45ba7ea,테이블에이동물원다산점,테마공원
96,a10431452f9fe98ab3faf31f417a84b1,덕능고개,자연경관(산)
97,fe0f0fc2b2f31197b0bf4d1ec3cec30a,남양주놀자람,테마공원
98,6b8fc1f00649ce27eaea108773d7c468,남양주이패1야구장,레저스포츠시설
99,22cfd26ed4789c0906cfb258b88468af,삼패야구장,레저스포츠시설
100,0de2ce247f47024585f0e25ea13685fe,남양주시 별내동 식송마을,역사유적지
