iter	RMSE
0	8.129152087
1	7.814231948
2	7.524463918
3	7.223892049
4	6.941517505
5	6.672402581
6	6.412708511
7	6.148642324
8	5.918561005
9	5.747455014
10	5.523934664
11	5.323403058
12	5.14499362
13	4.956229691
14	4.784358482
15	4.611664228
16	4.442742579
17	4.283650921
18	4.126594978
19	3.993694525
20	3.857468028
21	3.740319172
22	3.614529376
23	3.497129124
24	3.389190307
25	3.283735639
26	3.201062616
27	3.100623886
28	3.009319465
29	2.921824305
30	2.840133586
31	2.755553676
32	2.664683043
33	2.590046233
34	2.509265244
35	2.44454262
36	2.38065585
37	2.325570331
38	2.269650641
39	2.205105513
40	2.148061849
41	2.093119043
42	2.041293579
43	1.996744446
44	1.955688389
45	1.914363496
46	1.868530652
47	1.829524573
48	1.791219239
49	1.74714389
50	1.705407978
51	1.669613276
52	1.621186858
53	1.591444486
54	1.556120936
55	1.517757072
56	1.479662956
57	1.45353962
58	1.415820793
59	1.379088081
60	1.353155694
61	1.321341223
62	1.288319339
63	1.258477304
64	1.23470818
65	1.208861877
66	1.183860557
67	1.157925649
68	1.134733979
69	1.118050763
70	1.102881142
71	1.087166958
72	1.07452103
73	1.052802755
74	1.032054789
75	1.014539347
76	1.000177682
77	0.9854450742
78	0.9726140396
79	0.9560305457
80	0.940909955
81	0.9253232319
82	0.9129596965
83	0.899887487
84	0.8860051248
85	0.8733260931
86	0.8664830107
87	0.8563580169
88	0.8443448991
89	0.8309152983
90	0.8198336014
91	0.8046981117
92	0.7944309947
93	0.7820660982
94	0.7709043816
95	0.7612603375
96	0.7542924705
97	0.744686807
98	0.7343230682
99	0.7229048597
100	0.710468251
101	0.7043767125
102	0.6932916989
103	0.6879798087
104	0.6795794036
105	0.6722633991
106	0.6607694701
107	0.6559275237
108	0.6442978127
109	0.6387057855
110	0.6336342004
111	0.62751313
112	0.6203693586
113	0.6122536139
114	0.6042952445
115	0.5971917183
116	0.5883850877
117	0.5818662232
118	0.5743338492
119	0.5675432583
120	0.5588135007
121	0.5553644313
122	0.550315586
123	0.5435659928
124	0.5386946494
125	0.5336121362
126	0.5260682925
127	0.5219229575
128	0.5148150085
129	0.5104766383
130	0.5062105993
131	0.5019662948
132	0.4959063444
133	0.4890408698
134	0.4845401767
135	0.4795779639
136	0.4758222491
137	0.4706836404
138	0.4650843164
139	0.4624836702
140	0.4583701929
141	0.4544734604
142	0.4496329212
143	0.4441835903
144	0.4398457876
145	0.4356358809
146	0.4296026123
147	0.4229352495
148	0.4172161473
149	0.4121005992
150	0.4061900494
151	0.4039957301
152	0.4004974277
153	0.3945668952
154	0.3916125846
155	0.3862959846
156	0.3807024372
157	0.3759063705
158	0.3718139051
159	0.3694346486
160	0.364762596
161	0.3616104649
162	0.3590507341
163	0.3550125057
164	0.3504735612
165	0.3458724608
166	0.3414823677
167	0.3390692475
168	0.3368848456
169	0.3330333184
170	0.3300138945
171	0.3266096898
172	0.3241836916
173	0.3218865155
174	0.3182315845
175	0.3145015501
176	0.312675839
177	0.3103123984
178	0.3073821644
179	0.3053749832
180	0.3015986062
181	0.2988923243
182	0.2956375692
183	0.2925869948
184	0.2908631551
185	0.2883002967
186	0.2855274542
187	0.2838800499
188	0.2822423325
189	0.2806990861
190	0.2770321924
191	0.2740599968
192	0.2714830118
193	0.2679837928
194	0.2657897021
195	0.264989478
196	0.2637791154
197	0.2609344702
198	0.2580426984
199	0.2562151979
200	0.2536015089
201	0.2517612388
202	0.2505551005
203	0.2492074897
204	0.2475944128
205	0.2465894531
206	0.2450145502
207	0.2436861746
208	0.2411439273
209	0.2387052471
210	0.23688586
211	0.2345733604
212	0.232146701
213	0.2308722888
214	0.2280043497
215	0.2261395246
216	0.2244560952
217	0.222912585
218	0.2211959615
219	0.2202774848
220	0.2182640607
221	0.216175093
222	0.215128544
223	0.2129104357
224	0.2118167982
225	0.2109212772
226	0.2096082979
227	0.2085325186
228	0.2062882105
229	0.2046431631
230	0.2031551752
231	0.2012073242
232	0.2001871275
233	0.1988212104
234	0.1982211288
235	0.1961654045
236	0.1948958141
237	0.1933971431
238	0.1921324633
239	0.1911091998
240	0.1895033952
241	0.1883993205
242	0.1870952727
243	0.1863124255
244	0.1850230549
245	0.1841857576
246	0.1833401585
247	0.1825634302
248	0.1822789701
249	0.1807491609
250	0.1804756802
251	0.1799563737
252	0.1795175776
253	0.1790202481
254	0.1780144185
255	0.1768971628
256	0.1757708618
257	0.1742430508
258	0.1738336635
259	0.1726546214
260	0.171228236
261	0.1700544155
262	0.1694721837
263	0.1687903669
264	0.1677640992
265	0.1665303376
266	0.1660223417
267	0.1654156216
268	0.1643434054
269	0.1627767133
270	0.161781259
271	0.1612223675
272	0.160867353
273	0.1601021916
274	0.159809955
275	0.158709425
276	0.1573680727
277	0.1561028624
278	0.1553103287
279	0.154243142
280	0.1530332437
281	0.1524334946
282	0.1508674742
283	0.149874451
284	0.149197606
285	0.1488241712
286	0.147839888
287	0.1470064949
288	0.145876694
289	0.1447806254
290	0.1439506885
291	0.1433400535
292	0.1422049641
293	0.1412542873
294	0.1406316561
295	0.1398437568
296	0.1389243981
297	0.1384405759
298	0.1378654881
299	0.137636547
