iter	Passed	Remaining
0	57	17110
1	57	8587
2	58	5744
3	58	4329
4	58	3475
5	59	2907
6	59	2498
7	60	2193
8	60	1958
9	61	1771
10	61	1615
11	61	1485
12	62	1374
13	62	1275
14	62	1193
15	63	1122
16	63	1061
17	64	1006
18	64	957
19	65	912
20	65	870
21	65	833
22	66	798
23	66	766
24	67	737
25	67	711
26	67	687
27	68	664
28	68	643
29	69	623
30	69	604
31	70	587
32	70	569
33	70	553
34	71	538
35	71	524
36	71	510
37	72	497
38	72	485
39	73	474
40	73	464
41	73	454
42	74	444
43	74	434
44	75	425
45	75	417
46	75	408
47	76	400
48	76	392
49	77	385
50	77	378
51	77	371
52	78	365
53	78	359
54	79	353
55	80	348
56	80	343
57	81	338
58	81	333
59	81	327
60	82	323
61	82	318
62	83	313
63	83	309
64	84	304
65	84	300
66	85	295
67	85	291
68	86	287
69	86	284
70	86	280
71	87	276
72	87	273
73	88	269
74	88	266
75	89	262
76	89	259
77	90	256
78	90	253
79	91	250
80	92	249
81	93	247
82	93	245
83	94	242
84	94	239
85	95	237
86	95	234
87	96	232
88	96	229
89	97	227
90	97	224
91	98	222
92	99	220
93	99	218
94	100	215
95	100	213
96	100	211
97	101	208
98	101	206
99	101	203
100	102	201
101	102	199
102	102	196
103	103	194
104	103	192
105	104	190
106	104	188
107	104	186
108	105	184
109	106	183
110	106	181
111	107	179
112	107	177
113	108	176
114	108	174
115	108	172
116	109	171
117	109	169
118	110	167
119	110	166
120	111	164
121	111	163
122	112	161
123	112	160
124	113	158
125	113	157
126	114	155
127	114	154
128	115	152
129	115	151
130	116	150
131	116	148
132	117	147
133	117	145
134	118	144
135	118	143
136	118	141
137	119	140
138	119	138
139	120	137
140	120	135
141	120	134
142	121	133
143	121	131
144	122	130
145	122	129
146	123	128
147	123	126
148	124	125
149	124	124
150	124	123
151	125	121
152	125	120
153	125	119
154	126	118
155	126	116
156	127	115
157	127	114
158	128	113
159	128	112
160	128	111
161	129	110
162	129	109
163	130	107
164	130	106
165	130	105
166	131	104
167	131	103
168	132	102
169	132	101
170	132	100
171	133	99
172	133	98
173	134	97
174	134	95
175	134	94
176	135	94
177	135	93
178	136	92
179	136	91
180	136	89
181	137	89
182	137	88
183	138	87
184	138	86
185	139	85
186	139	84
187	140	83
188	140	82
189	141	81
190	141	80
191	141	79
192	142	78
193	142	77
194	142	76
195	143	75
196	143	75
197	143	74
198	144	73
199	144	72
200	145	71
201	145	70
202	145	69
203	146	68
204	146	67
205	147	67
206	147	66
207	147	65
208	148	64
209	148	63
210	149	62
211	149	62
212	149	61
213	150	60
214	150	59
215	151	58
216	151	58
217	152	57
218	152	56
219	152	55
220	153	54
221	153	54
222	154	53
223	154	52
224	154	51
225	155	50
226	155	50
227	156	49
228	157	48
229	157	47
230	157	47
231	158	46
232	158	45
233	159	44
234	159	44
235	159	43
236	160	42
237	160	41
238	161	41
239	161	40
240	161	39
241	162	38
242	162	38
243	162	37
244	163	36
245	163	35
246	164	35
247	164	34
248	165	33
249	165	33
250	165	32
251	166	31
252	166	30
253	167	30
254	167	29
255	167	28
256	168	28
257	168	27
258	168	26
259	169	26
260	169	25
261	170	24
262	170	24
263	171	23
264	171	22
265	172	21
266	172	21
267	172	20
268	173	20
269	174	19
270	174	18
271	175	18
272	175	17
273	175	16
274	176	16
275	176	15
276	176	14
277	177	14
278	178	13
279	178	12
280	179	12
281	180	11
282	180	10
283	180	10
284	181	9
285	181	8
286	182	8
287	182	7
288	183	6
289	183	6
290	184	5
291	184	5
292	185	4
293	185	3
294	186	3
295	186	2
296	186	1
297	187	1
298	187	0
299	187	0
