feature,importance
type_prob_음식,2.797308759698393
type_quality_score,2.783119050037153
nav_score,2.062322632340674
recent_score,1.6197236396306522
target_tourism_type,1.4385094310433302
type_top1,1.304017572479318
content_type_name,1.0132117822684144
type_prob_숙박,0.16486805723690265
type_prob_쇼핑,0.12418037255366857
info_score,0.04673636606931627
type_prob_레저스포츠,0.04520157759022695
type_prob_문화관광,0.03888360587520343
type_top1_prob,0.03749057070161008
type_prob_역사관광,0.02463190689464049
type_prob_자연관광,0.016896865137254923
type_prob_관광지,0.012797838211192602
type_prob_체험관광,0.011346102817359639
mapx,0.006493909955029631
mapy,0.00573989391391162
has_image,0.0014689835589304368
avg_visitor_growth_rate,-5.773159728050814e-16
has_addr,-5.884182030513329e-16
avg_monthly_visitors,-7.771561172376096e-16
has_tel,-7.882583474838611e-16
regional_demand_score,-1.1879386363489174e-15
avg_overnight_days,-1.8096635301390052e-15
avg_stay_time,-1.965094753586527e-15
avg_local_currency_spending,-2.0650148258027913e-15
avg_tourism_spending_outsider,-2.1427304375265522e-15
avg_overnight_ratio,-2.4091839634365896e-15
