year_month,year,month,quarter,방문자수,전년동월방문자수,방문자수증감률,visitor_count_scaled,visitor_growth_scaled,visitor_demand_score,is_peak_month
2025-01,2025,1,1,5498815.0,5104925.0,7.7,0.3757792672670881,0.8853754940711465,0.5286581353083055,0
2025-02,2025,2,1,4693626.0,5502525.0,-14.7,0.0,0.0,0.0,0
2025-03,2025,3,1,6140508.0,6335304.0,-3.1,0.6752554465869984,0.4584980237154151,0.6102282197255234,0
2025-04,2025,4,2,5492018.0,5693233.0,-3.5,0.37260712795617534,0.4426877470355732,0.39363131367999465,0
2025-05,2025,5,2,6836344.0,6272192.0,9.0,1.0,0.9367588932806326,0.9810276679841897,1
2025-06,2025,6,2,6057026.0,5828952.0,3.9,0.6362946500659441,0.7351778656126483,0.6659596147299554,0
2025-07,2025,7,3,6251140.0,5675488.0,10.1,0.7268870658668103,0.9802371541501977,0.8028920923518266,0
2025-08,2025,8,3,6511967.0,6191990.0,5.2,0.8486142366844356,0.7865612648221345,0.8299983451257451,1
2025-09,2025,9,3,5786554.0,6253712.0,-7.5,0.5100661869644068,0.2845849802371542,0.44242182494623095,0
2025-10,2025,10,4,6772346.0,6120604.0,10.6,0.9701323272591167,1.0000000000000002,0.9790926290813817,1
2025-11,2025,11,4,5884966.0,5522237.0,6.6,0.5559947692603506,0.8418972332015812,0.6417655084427198,0
2025-12,2025,12,4,5611725.0,5315432.0,5.6,0.4284740222465113,0.8023715415019764,0.5406432780231508,0
