year_month,year,month,quarter,stay_time,national_avg_stay_time,stay_time_diff,stay_time_ratio,stay_time_scaled,stay_time_diff_scaled,stay_demand_score,is_long_stay_month
2025-01,2025,1,1,1313.0,1096.0,217.0,1.197992700729927,0.612903225806452,0.5846774193548387,0.604435483870968,0
2025-02,2025,2,1,1259.0,1039.0,220.0,1.2117420596727622,0.47890818858560813,0.5967741935483871,0.5142679900744418,0
2025-03,2025,3,1,1436.0,1314.0,122.0,1.0928462709284628,0.9181141439205955,0.2016129032258065,0.7031637717121588,1
2025-04,2025,4,2,1066.0,880.0,186.0,1.2113636363636364,0.0,0.45967741935483875,0.13790322580645162,0
2025-05,2025,5,2,1469.0,1215.0,254.0,1.2090534979423868,1.0,0.7338709677419355,0.9201612903225806,1
2025-06,2025,6,2,1107.0,935.0,172.0,1.1839572192513368,0.10173697270471482,0.4032258064516129,0.19218362282878423,0
2025-07,2025,7,3,1311.0,1078.0,233.0,1.2161410018552876,0.6079404466501241,0.6491935483870968,0.6203163771712159,0
2025-08,2025,8,3,1149.0,1013.0,136.0,1.134254689042448,0.2059553349875931,0.25806451612903225,0.22158808933002483,0
2025-09,2025,9,3,1142.0,1070.0,72.0,1.0672897196261681,0.18858560794044665,0.0,0.13200992555831265,0
2025-10,2025,10,4,1222.0,1026.0,196.0,1.1910331384015596,0.3870967741935485,0.5,0.4209677419354839,0
2025-11,2025,11,4,1068.0,899.0,169.0,1.1879866518353726,0.004962779156327812,0.3911290322580645,0.12081265508684881,0
2025-12,2025,12,4,1326.0,1006.0,320.0,1.3180914512922466,0.645161290322581,1.0,0.7516129032258067,1
