year_month,year,month,quarter,stay_visitor_ratio,avg_stay_days,stay_visitor_ratio_scaled,avg_stay_days_scaled,lodging_demand_score,is_lodging_demand_month
2025-01,2025,1,1,8.7,3.54,1.0,0.08333333333333393,0.6333333333333335,1
2025-02,2025,2,1,7.0,3.59,0.26086956521739113,0.2916666666666661,0.27318840579710113,0
2025-03,2025,3,1,7.4,3.76,0.43478260869565233,1.0,0.6608695652173915,1
2025-04,2025,4,2,6.6,3.55,0.08695652173912993,0.125,0.10217391304347796,0
2025-05,2025,5,2,7.6,3.55,0.5217391304347823,0.125,0.36304347826086936,0
2025-06,2025,6,2,6.5,3.68,0.043478260869564966,0.6666666666666679,0.29275362318840614,0
2025-07,2025,7,3,7.1,3.53,0.3043478260869561,0.041666666666666075,0.1992753623188401,0
2025-08,2025,8,3,7.1,3.66,0.3043478260869561,0.5833333333333339,0.41594202898550725,0
2025-09,2025,9,3,6.4,3.62,0.0,0.41666666666666785,0.16666666666666716,0
2025-10,2025,10,4,8.4,3.63,0.8695652173913047,0.4583333333333339,0.7050724637681164,1
2025-11,2025,11,4,6.6,3.62,0.08695652173912993,0.41666666666666785,0.21884057971014512,0
2025-12,2025,12,4,7.9,3.52,0.6521739130434785,0.0,0.3913043478260871,0
