year_month,year,month,quarter,stay_visitor_ratio,stay_ratio_scaled,lodging_strategy_score,is_lodging_type_month,trip_strategy_type
2025-01,2025,1,1,8.3,0.8333333333333339,0.8333333333333339,1,숙박형 추천 강화
2025-01,2025,1,1,8.7,1.0,1.0,1,숙박형 추천 강화
2025-02,2025,2,1,6.7,0.16666666666666696,0.16666666666666696,0,당일형 추천 중심
2025-02,2025,2,1,7.0,0.2916666666666665,0.2916666666666665,0,당일형 추천 중심
2025-03,2025,3,1,7.4,0.4583333333333335,0.4583333333333335,0,당일형 추천 중심
2025-03,2025,3,1,6.9,0.25,0.25,0,당일형 추천 중심
2025-04,2025,4,2,6.6,0.125,0.125,0,당일형 추천 중심
2025-04,2025,4,2,6.4,0.04166666666666696,0.04166666666666696,0,당일형 추천 중심
2025-05,2025,5,2,7.5,0.5,0.5,0,당일형 추천 중심
2025-05,2025,5,2,7.6,0.5416666666666665,0.5416666666666665,0,당일형 추천 중심
2025-06,2025,6,2,6.6,0.125,0.125,0,당일형 추천 중심
2025-06,2025,6,2,6.5,0.08333333333333348,0.08333333333333348,0,당일형 추천 중심
2025-07,2025,7,3,7.1,0.3333333333333335,0.3333333333333335,0,당일형 추천 중심
2025-07,2025,7,3,7.1,0.3333333333333335,0.3333333333333335,0,당일형 추천 중심
2025-08,2025,8,3,7.7,0.5833333333333335,0.5833333333333335,1,숙박형 추천 강화
2025-08,2025,8,3,7.1,0.3333333333333335,0.3333333333333335,0,당일형 추천 중심
2025-09,2025,9,3,6.3,0.0,0.0,0,당일형 추천 중심
2025-09,2025,9,3,6.4,0.04166666666666696,0.04166666666666696,0,당일형 추천 중심
2025-10,2025,10,4,8.4,0.8750000000000004,0.8750000000000004,1,숙박형 추천 강화
2025-10,2025,10,4,8.4,0.8750000000000004,0.8750000000000004,1,숙박형 추천 강화
2025-11,2025,11,4,6.3,0.0,0.0,0,당일형 추천 중심
2025-11,2025,11,4,6.6,0.125,0.125,0,당일형 추천 중심
2025-12,2025,12,4,7.0,0.2916666666666665,0.2916666666666665,0,당일형 추천 중심
2025-12,2025,12,4,7.9,0.666666666666667,0.666666666666667,1,숙박형 추천 강화
