rank,companion_type,keyword,keyword_mention_count
1,기타가족,가족,129185
7,기타가족,가정,30728
22,기타가족,언니,7613
25,기타가족,동생,6106
26,기타가족,오빠,6046
33,기타가족,이모,4049
40,기타가족,장인,3342
42,기타가족,패밀리,2966
44,기타가족,동서,2792
48,기타가족,조카,2423
51,기타가족,형제,2162
53,기타가족,막내,1885
55,기타가족,엄마,1772
56,기타가족,친척,1728
57,기타가족,형,1660
59,기타가족,식구,1585
62,기타가족,누나,1421
64,기타가족,자매,1390
71,기타가족,고모,1230
73,기타가족,사촌,1194
75,기타가족,장모,1126
77,기타가족,손자,1072
78,기타가족,온가족,1065
79,기타가족,효자,1022
80,기타가족,시댁,962
82,기타가족,이모님,896
83,기타가족,형님,894
85,기타가족,태아,849
91,기타가족,삼촌,717
93,기타가족,남매,665
94,기타가족,사위,650
98,기타가족,손주,589
102,기타가족,남동생,558
106,기타가족,여동생,519
112,기타가족,형부,499
123,기타가족,며느리,413
130,기타가족,손녀,350
134,기타가족,막둥이,300
140,기타가족,친지,273
149,기타가족,사촌동생,236
156,기타가족,차남,181
157,기타가족,이모님들,167
162,기타가족,효녀,161
166,기타가족,외삼촌,151
168,기타가족,손주들,146
179,기타가족,혈육,125
184,기타가족,사돈,112
188,기타가족,시누,109
189,기타가족,친정식구,103
191,기타가족,가족모두,98
192,기타가족,새언니,96
193,기타가족,올케,95
194,기타가족,친정식구들,94
197,기타가족,시댁식구,91
200,기타가족,시동생,84
202,기타가족,숙부,83
203,기타가족,시누이,82
207,기타가족,시댁식구들,77
209,기타가족,외손녀,75
218,기타가족,울언니,57
224,기타가족,외손자,52
230,기타가족,장손,47
235,기타가족,손자들,44
235,기타가족,처제,44
242,기타가족,숙모,41
243,기타가족,덩생,39
270,기타가족,맏사위,22
276,기타가족,손자손녀,18
282,기타가족,맏며느리,16
286,기타가족,큰며느리,15
292,기타가족,며늘,14
307,기타가족,육촌,7
307,기타가족,사돈댁,7
313,기타가족,외손주,6
328,기타가족,시댁어른,4
337,기타가족,막내며느리,3
343,기타가족,첫째손녀,2
