rank,travel_type,keyword,keyword_mention_count
8,기타,투어,5513
10,기타,데이트코스,3177
23,기타,답사,1260
29,기타,해외여행,901
57,기타,일본여행,248
62,기타,제주여행,201
66,기타,부산여행,186
79,기타,추억여행,134
102,기타,유럽여행,92
111,기타,자전거여행,79
112,기타,세계여행,75
114,기타,역사여행,71
115,기타,기차여행,70
131,기타,스탬프투어,52
133,기타,자유여행,49
138,기타,도보여행,45
138,기타,제주도여행,45
141,기타,중국여행,42
146,기타,테마여행,38
155,기타,배낭여행,32
168,기타,미국여행,24
180,기타,패키지여행,18
185,기타,세계일주,15
185,기타,졸업여행,15
202,기타,동남아여행,10
218,기타,걷기여행,8
224,기타,일출여행,7
232,기타,데이트스냅,6
250,기타,야외취침,4
250,기타,해돋이여행,4
262,기타,청춘여행,3
262,기타,소싸움,3
262,기타,자전거투어,3
262,기타,기념여행,3
282,기타,도시여행,2
282,기타,열차여행,2
310,기타,워킹투어,1
310,기타,덕질여행,1
3,레포츠,캠핑,17676
4,레포츠,빠지,10618
5,레포츠,등산,7383
9,레포츠,글램핑,3206
13,레포츠,산행,2553
14,레포츠,낚시,2306
16,레포츠,트레킹,2017
17,레포츠,스키,2010
18,레포츠,레저,1969
20,레포츠,차박,1319
25,레포츠,수상레저,1083
27,레포츠,서핑,991
30,레포츠,오토캠핑,817
31,레포츠,캠프파이어,758
33,레포츠,클라이밍,700
35,레포츠,카약,598
36,레포츠,수상스키,591
38,레포츠,하이킹,584
39,레포츠,짚라인,527
40,레포츠,트래킹,483
42,레포츠,레포츠,469
44,레포츠,오프로드,424
49,레포츠,캠핑족,348
52,레포츠,백패킹,289
53,레포츠,웨이크보드,270
54,레포츠,패들보드,261
55,레포츠,제트보트,260
58,레포츠,게이트볼,243
64,레포츠,감성캠핑,189
69,레포츠,웨이크서핑,179
76,레포츠,암벽등반,142
77,레포츠,바나나보트,140
77,레포츠,패러글라이딩,140
82,레포츠,스쿠버,120
82,레포츠,오프로드라이딩,120
87,레포츠,바다낚시,114
90,레포츠,산악오토바이,106
94,레포츠,캠크닉,103
95,레포츠,스쿼시,100
98,레포츠,래프팅,98
99,레포츠,아쿠아로빅,96
101,레포츠,제트스키,93
102,레포츠,스쿠버다이빙,92
105,레포츠,수상스포츠,88
105,레포츠,스노클링,88
107,레포츠,노지캠핑,87
109,레포츠,캠프닉,83
110,레포츠,ssi,81
116,레포츠,수상레져,68
117,레포츠,스노쿨링,67
119,레포츠,모토캠핑,66
128,레포츠,민물낚시,57
129,레포츠,번지점프,53
135,레포츠,산악자전거,47
136,레포츠,스케이트보드,46
141,레포츠,골프여행,42
141,레포츠,스노우보드,42
150,레포츠,카라반캠핑,35
150,레포츠,프리다이빙,35
155,레포츠,레저스포츠,32
155,레포츠,캠핑여행,32
155,레포츠,트레일러닝,32
160,레포츠,루어낚시,28
160,레포츠,해양레저,28
163,레포츠,패들보트,27
172,레포츠,스킨스쿠버,22
172,레포츠,해양스포츠,22
177,레포츠,수상자전거,21
185,레포츠,스키여행,15
189,레포츠,골프투어,14
190,레포츠,스카이다이빙,13
196,레포츠,빙벽등반,11
196,레포츠,윈드서핑,11
196,레포츠,발야구,11
202,레포츠,페러글라이딩,10
202,레포츠,애슬레저,10
202,레포츠,원스키,10
210,레포츠,글라이더,9
210,레포츠,배스낚시,9
210,레포츠,낚시여행,9
218,레포츠,캠핑라이프,8
224,레포츠,오픈워터,7
224,레포츠,서바이벌게임,7
224,레포츠,padi,7
224,레포츠,bmx,7
232,레포츠,써핑,6
232,레포츠,해양레포츠,6
242,레포츠,행글라이더,5
250,레포츠,플라이낚시,4
262,레포츠,스킨스쿠버다이빙,3
262,레포츠,클레이사격,3
262,레포츠,실내스키,3
282,레포츠,숏스키,2
282,레포츠,씨워킹,2
282,레포츠,패러세일링,2
282,레포츠,암벽산행,2
282,레포츠,인공암벽등반,2
310,레포츠,암벽등산,1
310,레포츠,행글라이딩,1
310,레포츠,바이크캠핑,1
310,레포츠,블롭점프,1
310,레포츠,웨이크보딩,1
310,레포츠,빠지패키지,1
26,미식,카페투어,1079
34,미식,먹부림,650
37,미식,맛집탐방,585
41,미식,빵지순례,476
47,미식,맛집투어,360
74,미식,고기파티,150
88,미식,먹방여행,110
93,미식,바베큐파티,104
129,미식,빵투어,53
132,미식,식도락여행,51
133,미식,먹킷리스트,49
163,미식,애프터눈티,27
193,미식,삼겹살파티,12
218,미식,맥주파티,8
242,미식,미식체험,5
282,미식,먹부림여행,2
282,미식,먹거리여행,2
310,미식,와인투어,1
310,미식,먹거리투어,1
310,미식,와이너리투어,1
310,미식,빵집순례,1
28,체험,템플스테이,908
43,체험,딸기체험,427
48,체험,역사체험,354
56,체험,농촌체험,250
59,체험,생태체험,226
61,체험,동물체험,205
66,체험,숲체험,186
71,체험,승마체험,168
73,체험,한옥스테이,156
80,체험,쿠킹클래스,127
81,체험,명상체험,121
82,체험,오프로드체험,120
85,체험,시티투어,116
89,체험,한복체험,109
90,체험,수학여행,106
90,체험,원예체험,106
97,체험,족욕체험,99
104,체험,놀이체험,90
107,체험,농장체험,87
113,체험,곤충체험,72
117,체험,목공체험,67
121,체험,맨발체험,65
123,체험,먹이주기체험,64
125,체험,갯벌체험,61
125,체험,도자기체험,61
