year_month,year,month,quarter,방문자수,전년동월방문자수,방문자수증감률,visitor_change_count,demand_change_type,growth_rate_scaled,demand_trend_score,is_growth_month,is_decline_month
2025-01,2025,1,1,5498815.0,5104925.0,7.7,393890.0,상승,0.8853754940711465,0.8853754940711465,1,0
2025-02,2025,2,1,4693626.0,5502525.0,-14.7,-808899.0,하락,0.0,0.0,0,1
2025-03,2025,3,1,6140508.0,6335304.0,-3.1,-194796.0,하락,0.4584980237154151,0.4584980237154151,0,1
2025-04,2025,4,2,5492018.0,5693233.0,-3.5,-201215.0,하락,0.4426877470355732,0.4426877470355732,0,1
2025-05,2025,5,2,6836344.0,6272192.0,9.0,564152.0,상승,0.9367588932806326,0.9367588932806326,1,0
2025-06,2025,6,2,6057026.0,5828952.0,3.9,228074.0,상승,0.7351778656126483,0.7351778656126483,1,0
2025-07,2025,7,3,6251140.0,5675488.0,10.1,575652.0,상승,0.9802371541501977,0.9802371541501977,1,0
2025-08,2025,8,3,6511967.0,6191990.0,5.2,319977.0,상승,0.7865612648221345,0.7865612648221345,1,0
2025-09,2025,9,3,5786554.0,6253712.0,-7.5,-467158.0,하락,0.2845849802371542,0.2845849802371542,0,1
2025-10,2025,10,4,6772346.0,6120604.0,10.6,651742.0,상승,1.0000000000000002,1.0000000000000002,1,0
2025-11,2025,11,4,5884966.0,5522237.0,6.6,362729.0,상승,0.8418972332015812,0.8418972332015812,1,0
2025-12,2025,12,4,5611725.0,5315432.0,5.6,296293.0,상승,0.8023715415019764,0.8023715415019764,1,0
