contentid,title,addr1,contenttypeid,content_type_name,target_tourism_type,mapx,mapy,info_score,info_level,has_firstimage,has_firstimage2,has_tel,has_addr1,has_coord,has_main_category,has_mid_category,has_sub_category,type_prob_관광지,type_prob_레저스포츠,type_prob_문화관광,type_prob_쇼핑,type_prob_숙박,type_prob_역사관광,type_prob_음식,type_prob_자연관광,type_prob_체험관광,type_top1,type_top1_prob,type_top2,type_top2_prob
798518,가든갤러리,경기도 남양주시 강변북로632번길 57-28 (수석동),39,음식점,음식,127.17413422606715,37.58774484472282,90,매우 높음,1,1,0,1,1,1,1,1,0.02923371766073585,0.04855207762464982,0.051657160537483655,0.03374532908605697,0.02783243020150721,0.014910074898633136,0.7730897870305956,0.016819180722002707,0.004160242238334719,음식,0.7730897870305956,문화관광,0.051657160537483655
3045767,가람수상스키,경기도 남양주시 화도읍 북한강로1570번길 16,28,레포츠,레저스포츠,127.36800164257528,37.64767052809853,90,매우 높음,1,1,0,1,1,1,1,1,0.01875789125744218,0.9216687744591542,0.024672217610598027,0.00809531532552013,0.008626253902688385,0.006354627133430943,0.004008564493559979,0.00578258833846294,0.002033767479143382,레저스포츠,0.9216687744591542,문화관광,0.024672217610598027
2738718,가족쉼터,경기도 남양주시 수동면 비룡로 1603,28,레포츠,레저스포츠,127.2736720245,37.7559681143,90,매우 높음,1,1,0,1,1,1,1,1,0.003838075976520629,0.9115877739254936,0.009394496043836223,0.0027518969926892613,0.04602569896670621,0.004868538843560988,0.0020187343144567787,0.01824530406013123,0.0012694808766049897,레저스포츠,0.9115877739254936,숙박,0.04602569896670621
133832,감나무집,경기도 남양주시 조안면 다산로747번길 45,39,음식점,음식,127.3029706666,37.5175657918,75,높음,0,0,0,1,1,1,1,1,0.003624681339192594,0.00318221836704065,0.011415021098957895,0.0012319223689040617,0.0027388165702539142,0.00552675003032129,0.9551829291768018,0.009860659611973285,0.007237001436554675,음식,0.9551829291768018,문화관광,0.011415021098957895
134729,개성집,경기도 남양주시 와부읍 경강로 876,39,음식점,음식,127.234925291906,37.559513912908,75,높음,0,0,0,1,1,1,1,1,0.022115877225082396,0.01633633464388466,0.03478389721433914,0.006419374356618558,0.021244236251087734,0.00418915443637804,0.8713838137451377,0.012185185447073745,0.011342126680397874,음식,0.8713838137451377,문화관광,0.03478389721433914
4012032,게스 현대프리미엄아울렛 스페이스원점,경기도 남양주시 다산순환로 50 (다산동),38,쇼핑,쇼핑,127.152429100255,37.616257926116,95,매우 높음,1,1,0,1,1,1,1,1,0.003774103083113193,0.0036283926427294975,0.0025902902875607524,0.9770236316430096,0.0039971608196187865,0.0030453963448859853,0.001846416555906141,0.0031580752001225524,0.0009365334230534425,쇼핑,0.9770236316430096,숙박,0.0039971608196187865
3013802,고고랜드 남양주점,경기도 남양주시 경춘로1256번길 25 (평내동),28,레포츠,레저스포츠,127.23647396838952,37.64517597201543,90,매우 높음,1,1,0,1,1,1,1,1,0.0184130280331625,0.9111063995622524,0.01879855942083388,0.008178274913792265,0.01149600905008575,0.013317232111479872,0.004034042135511582,0.011949932347010854,0.002706522425870932,레저스포츠,0.9111063995622524,문화관광,0.01879855942083388
3017976,고노골수상레저,경기도 남양주시 조안면 북한강로 998,28,레포츠,레저스포츠,127.34166307508166,37.60489056097103,90,매우 높음,1,1,0,1,1,1,1,1,0.015995819278793448,0.9146641745640509,0.02301574329617249,0.007039956237835311,0.008013867694993515,0.004916252827540788,0.007153521737743282,0.006283588165407018,0.012917076197463372,레저스포츠,0.9146641745640509,문화관광,0.02301574329617249
802182,고당,경기도 남양주시 조안면 북한강로 121,39,음식점,음식,127.3027007173,37.5360469761,75,높음,0,0,0,1,1,1,1,1,0.006233199543667249,0.00561386296946351,0.004393248469912168,0.004813053287246884,0.00599353355138599,0.0005045167260782614,0.9549046752783952,0.011323165250801969,0.006220744923048902,음식,0.9549046752783952,자연관광,0.011323165250801969
2867755,고향가는길,경기도 남양주시 강변북로 716 (수석동),39,음식점,음식,127.174021896,37.5932241135,90,매우 높음,1,1,0,1,1,1,1,1,0.0009739045558922955,0.00033352001453274064,0.004642843596078835,0.001761562881689923,0.004311573547568621,0.0005045167260782614,0.9863766408304072,0.0010954378477521566,0.0,음식,0.9863766408304072,문화관광,0.004642843596078835
4025336,골든듀 현대프리미엄아울렛 스페이스원점,경기도 남양주시 다산순환로 50 (다산동),38,쇼핑,쇼핑,127.152429100255,37.616257926116,95,매우 높음,1,1,0,1,1,1,1,1,0.003774103083113193,0.0036283926427294975,0.0025902902875607524,0.9770236316430096,0.0039971608196187865,0.0030453963448859853,0.001846416555906141,0.0031580752001225524,0.0009365334230534425,쇼핑,0.9770236316430096,숙박,0.0039971608196187865
615484,광릉돌솥밥,경기도 남양주시 진접읍 금강로1845번길 1,39,음식점,음식,127.208683595599,37.7496470332916,90,매우 높음,1,1,0,1,1,1,1,1,0.015776403956334215,0.022628040086502994,0.04065270101375341,0.033167268284240804,0.019113235347748378,0.013291392720711512,0.8351692527167931,0.01495164968351214,0.005250056190403299,음식,0.8351692527167931,문화관광,0.04065270101375341
2638583,광릉숲길,경기도 남양주시 진접읍 봉선사길 193-13,28,레포츠,레저스포츠,127.1878,37.7479,95,매우 높음,1,1,0,1,1,1,1,1,0.024974957769847227,0.8526238947861741,0.037926088008469194,0.010984584255698818,0.021896468794000843,0.015055082058772288,0.009057101842554484,0.021815537674673244,0.005666284809810117,레저스포츠,0.8526238947861741,문화관광,0.037926088008469194
2869033,광릉한옥점,경기도 남양주시 진접읍 광릉내로 36,39,음식점,음식,127.1993208429,37.7431154776,90,매우 높음,1,1,0,1,1,1,1,1,0.0009739045558922955,0.00033352001453274064,0.004642843596078835,0.001761562881689923,0.004311573547568621,0.0005045167260782614,0.9863766408304072,0.0010954378477521566,0.0,음식,0.9863766408304072,문화관광,0.004642843596078835
2860358,교감막국수,경기도 남양주시 수레로 162,39,음식점,음식,127.2261587701,37.5948887538,90,매우 높음,1,1,0,1,1,1,1,1,0.0009739045558922955,0.00033352001453274064,0.004642843596078835,0.001761562881689923,0.004311573547568621,0.0005045167260782614,0.9863766408304072,0.0010954378477521566,0.0,음식,0.9863766408304072,문화관광,0.004642843596078835
2876980,구암막국수,경기도 남양주시 화도읍 경춘로2649번길 13,39,음식점,음식,127.3735459583,37.6704326623,90,매우 높음,1,1,0,1,1,1,1,1,0.0034334218183426466,0.00033352001453274064,0.005099611087676758,0.0017336265279913928,0.002677296856204599,0.00020187289434418331,0.9854252129531557,0.0010954378477521566,0.0,음식,0.9854252129531557,문화관광,0.005099611087676758
3085172,국제광림비전랜드,경기도 남양주시 화도읍 모꼬지로17번길 105,12,관광지,관광지,127.3642159692,37.6801952457,90,매우 높음,1,1,0,1,1,1,1,1,0.35805639282988055,0.01422053992830107,0.0057004001278743634,0.0026984101593505953,0.04211598646463416,0.03138712960860228,0.0075155578939625125,0.5204806383480668,0.017824944639327885,자연관광,0.5204806383480668,관광지,0.35805639282988055
3013816,궁집,경기도 남양주시 평내로 9 (평내동),12,관광지,역사관광,127.23037747426724,37.644001079604365,90,매우 높음,1,1,0,1,1,1,1,1,0.11378070188183897,0.01030756688683531,0.013736149652116045,0.00903661961221104,0.13828289151398657,0.6169576117828824,0.0022503453187096884,0.06853010956734226,0.027118003784077502,역사관광,0.6169576117828824,숙박,0.13828289151398657
3447080,그란스 다산,경기도 남양주시 다산중앙로82번안길 156 (다산동),39,음식점,음식,127.1688134682,37.6131244851,95,매우 높음,1,1,0,1,1,1,1,1,0.0015143504733699069,0.0075315046699107905,0.0066203871044583475,0.0013188170110354325,0.006431389215771385,0.002432684470873628,0.9656392468635229,0.008511620191057783,0.0,음식,0.9656392468635229,자연관광,0.008511620191057783
802310,금남멧돼지,경기도 남양주시 화도읍 북한강로 1332-1,39,음식점,음식,127.3511435578,37.6318061853,90,매우 높음,1,1,0,1,1,1,1,1,0.00512746810510001,0.002030546823943033,0.006129948793390149,0.001807599491478508,0.0019562937214083606,0.0004343421627771617,0.97964365375116,0.0014753315401450683,0.00139481561059787,음식,0.97964365375116,문화관광,0.006129948793390149
133834,기와집순두부,경기도 남양주시 조안면 북한강로 133,39,음식점,음식,127.3024257078,37.5372357218,75,높음,0,0,0,1,1,1,1,1,0.002343460050068002,0.0018371891272745684,0.011365397580820823,0.0013119959769412636,0.005080969605342069,0.0005045167260782614,0.9655013181288988,0.007729543773084877,0.004325609031491385,음식,0.9655013181288988,문화관광,0.011365397580820823
2877273,김삿갓밥집,경기도 남양주시 화도읍 경춘로 2483,39,음식점,음식,127.3615777836,37.6641887249,90,매우 높음,1,1,0,1,1,1,1,1,0.0034334218183426466,0.00033352001453274064,0.005099611087676758,0.0017336265279913928,0.002677296856204599,0.00020187289434418331,0.9854252129531557,0.0010954378477521566,0.0,음식,0.9854252129531557,문화관광,0.005099611087676758
2847337,꼬모윤,경기도 남양주시 다산중앙로123번길 22-26 (다산동),39,음식점,음식,127.1524396218,37.6249228174,90,매우 높음,1,1,0,1,1,1,1,1,0.001291869579739672,0.0029408620203848173,0.0032643943089201164,0.0016704989682219766,0.004311573547568621,0.0015222915289936265,0.9824563313399136,0.002542178706257721,0.0,음식,0.9824563313399136,숙박,0.004311573547568621
2863188,꽃다지쌈밥,경기도 남양주시 별내면 송산로679번길 24-28,39,음식점,음식,127.1211403995,37.6973888241,90,매우 높음,1,1,0,1,1,1,1,1,0.0009739045558922955,0.0015040034750925368,0.004642843596078835,0.001761562881689923,0.004311573547568621,0.0005045167260782614,0.9852061573698474,0.0010954378477521566,0.0,음식,0.9852061573698474,문화관광,0.004642843596078835
2862574,끼리한우정육식당,경기도 남양주시 와부읍 안골로25번길 21-47,39,음식점,음식,127.2363190606,37.5912393623,90,매우 높음,1,1,0,1,1,1,1,1,0.0009739045558922955,0.00033352001453274064,0.004642843596078835,0.001761562881689923,0.004311573547568621,0.0005045167260782614,0.9863766408304072,0.0010954378477521566,0.0,음식,0.9863766408304072,문화관광,0.004642843596078835
2830897,나인블럭 뷰 팔당점,경기도 남양주시 와부읍 다산로 56,39,음식점,음식,127.2552826914,37.5400262083,90,매우 높음,1,1,0,1,1,1,1,1,0.001291869579739672,0.00033352001453274064,0.0028282051076706743,0.0016704989682219766,0.004311573547568621,0.0005045167260782614,0.9865176373499304,0.002542178706257721,0.0,음식,0.9865176373499304,숙박,0.004311573547568621
2864268,낙지왕궁 본점,경기도 남양주시 불암로 103 (별내동),39,음식점,음식,127.1107704715,37.6502885586,90,매우 높음,1,1,0,1,1,1,1,1,0.0009739045558922955,0.0015040034750925368,0.004642843596078835,0.001761562881689923,0.004311573547568621,0.0005045167260782614,0.9852061573698474,0.0010954378477521566,0.0,음식,0.9852061573698474,문화관광,0.004642843596078835
125546,남양주 광릉(세조·정희왕후) [유네스코 세계유산],경기도 남양주시 진접읍 광릉수목원로 354,12,관광지,역사관광,127.1751034486,37.7486449499,90,매우 높음,1,1,0,1,1,1,1,1,0.05944217828719984,0.00207733501923473,0.005572584303110351,0.0018503399147995019,0.2240341805081507,0.6177396931823997,0.0013619047619047619,0.07651236095930627,0.011409423063894754,역사관광,0.6177396931823997,숙박,0.2240341805081507
976598,남양주 구 팔당역,경기도 남양주시 와부읍 팔당로 163,12,관광지,숙박,127.2487914923,37.5443144815,90,매우 높음,1,1,0,1,1,1,1,1,0.08376481319910722,0.0025845756914093802,0.0068618145059597836,0.002698472412249498,0.27876320251747067,0.535794255627463,0.0008537732131774453,0.0604956470765215,0.028183445756642053,역사관광,0.535794255627463,숙박,0.27876320251747067
250408,남양주 사릉(정순왕후) [유네스코 세계유산],경기도 남양주시 진건읍 사릉로 180,12,관광지,역사관광,127.1979651798067,37.64402204549423,90,매우 높음,1,1,0,1,1,1,1,1,0.08256988832157557,0.006519333874466801,0.013084371786563043,0.008951207185013165,0.1373832585184057,0.6527497102475491,0.0063107584478055544,0.06860684314197514,0.023824628476645918,역사관광,0.6527497102475491,숙박,0.1373832585184057
2507011,남양주 어린이비전센터,경기도 남양주시 진접읍 해밀예당1로 96,14,문화시설,문화관광,127.1910640109,37.7171489044,90,매우 높음,1,1,0,1,1,1,1,1,0.021410261038694516,0.009233777032670728,0.8971369686129202,0.0033333064643315266,0.033374009094297684,0.0035208890011452923,0.007377044666267937,0.023912894563484364,0.0007008495261878855,문화관광,0.8971369686129202,숙박,0.033374009094297684
125548,남양주 홍릉(고종·명성황후)과 유릉(순종·순명황후·순정황후) [유네스코 세계유산],경기도 남양주시 홍유릉로 352-1,12,관광지,역사관광,127.209605373296,37.6315015390282,90,매우 높음,1,1,0,1,1,1,1,1,0.09668205227855614,0.006478963979433764,0.01567789309508621,0.008264809723360972,0.12920687385284982,0.6375082027036915,0.00959250916097099,0.07627735523404748,0.020311339972002948,역사관광,0.6375082027036915,숙박,0.12920687385284982
129868,남양주문화원,경기도 남양주시 경춘로 883-36 (금곡동),14,문화시설,문화관광,127.1982102198,37.6330643664,90,매우 높음,1,1,0,1,1,1,1,1,0.05628214711181263,0.023101188382833034,0.8279395255562768,0.005966756246390396,0.033745067382977494,0.004416936093702567,0.006380312472587834,0.04116351945657325,0.0010045472968460087,문화관광,0.8279395255562768,관광지,0.05628214711181263
3013742,남양주별내빙상장,경기도 남양주시 덕송3로 76 (별내동),28,레포츠,레저스포츠,127.11258621875471,37.673674918462254,90,매우 높음,1,1,0,1,1,1,1,1,0.0345288778179062,0.8825469823023955,0.0266034331420166,0.012129518273368474,0.01738375457273116,0.006403060912168111,0.005764220608914322,0.011933629944628689,0.002706522425870932,레저스포츠,0.8825469823023955,관광지,0.0345288778179062
1936797,남양주시립박물관,경기도 남양주시 와부읍 팔당로 121,14,문화시설,문화관광,127.2443918318,37.546439155,90,매우 높음,1,1,0,1,1,1,1,1,0.026597497176262194,0.013030717838233872,0.9157848034181248,0.004149635961220093,0.017625120371199666,0.0009072931468163673,0.004449835307771004,0.014063135347289635,0.003391961433082052,문화관광,0.9157848034181248,관광지,0.026597497176262194
1030473,남양주컨트리클럽,경기도 남양주시 오남읍 진건오남로 516-31,28,레포츠,레저스포츠,127.21618113438,37.6789903122365,75,높음,0,0,0,1,1,1,1,1,0.03626109423761162,0.8365625660793266,0.02226197484154113,0.007169904068669252,0.024235673475762023,0.0030055822540418302,0.03225626246258334,0.0189310610139655,0.019315881566498768,레저스포츠,0.8365625660793266,관광지,0.03626109423761162
2733839,남양주한강공원(삼패지구),경기도 남양주시 강변북로632번길 14 (수석동),12,관광지,자연관광,127.17092906201816,37.58597509731076,90,매우 높음,1,1,0,1,1,1,1,1,0.3376069910907758,0.019052171844415988,0.06012176081618439,0.007691110237857961,0.04347033959152722,0.05488673010545804,0.005999589041638727,0.4419096567431321,0.029261650529009923,자연관광,0.4419096567431321,관광지,0.3376069910907758
