contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
3482667,12,가금철교 문화공원,20250318170121,20250318170732,,,,http://tong.visitkorea.or.kr/cms/resource/68/3482668_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/3482668_image3_1.jpg,Type3,31,25,41,150,VE,VE03,VE030400,A02,A0202,A02020700,경기도 의정부시 가능동,15-28,11685,127.0455151412,37.7533531645,6,"가금철교 문화공원은 경기도 의정부시 가능동 을지대학병원 맞은편에 위치해 있다. 원래 폐철도 부지(미39보급선로)로 아파트 등 주택밀집지역과 중랑천을 연결하는 위치에 있어 유동인구가 많았지만, 철거 이후 장기간 나대지로 방치되어 도심 경관을 저해하고 있었던 곳에 새롭게 조성된 공원이다. 벚꽃산책길, 운동시설, 메모리얼 공간 등 역사·문화적 가치를 지닌 도심 속 공원녹지 공간으로 재탄생하였다."
129194,12,가나아트파크,20060807090000,20251030173026,,,"<a href=""http://www.artpark.co.kr/"" target=""_blank"" title=""새창: 가나아트파크 홈페이지로 이동"">http://www.artpark.co.kr</a>",http://tong.visitkorea.or.kr/cms/resource/83/3559483_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/3559483_image3_1.jpg,Type1,31,18,41,630,VE,VE02,VE020100,A02,A0202,A02020600,경기도 양주시 장흥면 권율로 117,,11520,126.9491636401,37.7250130611,6,"가나아트파크는 1984년 국내 최초 사립미술관인 토탈미술관이 그 전신으로서, 2005년 모회사 가나아트센터에서 인수하여 조각공원을 중심으로 설립되었다. 이후 가나아트파크는 2006년 미술관(우치다 시게루 설계)과 공연장(반 시게루 설계), 어린이체험관, 가나 제1아틀리에(장 미셸 빌모트 설계)를 개관했다. 2007년 블루(Blue)·레드(Red)·옐로우(Yellow) 스페이스가 신축 및 개관 전을 열었으며, 뒤이어 2008년 가나 제2아틀리에가 열렸다.
2013년 가나아트파크 미술관이 ‘가나어린이미술관’으로, 블루스페이스가 국내 최초 ‘피카소어린이미술관’으로 탈바꿈하면서, 가나아트파크는 어린이를 비롯하여 전 계층을 아우르는 예술복합공간으로 자리매김하였다.
2016년 가나아트파크는 개관 10주년을 맞이하여 예술아카데미 ‘눈코입 미술관’과 ‘호기심 미술관 탐험’을 운영하였으며, 가나아틀리에 입주 작가가 참여한 ‘나도 예술가’ 프로그램이 체험공방에서 진행되었다.
가나아트파크는 신진·중견·원로 작가들에게는 보다 나은 창작 공간과 전시 기회를 부여하고, 대중에게는 미술을 비롯한 다양한 예술 장르를 수용함으로써, ‘인간과 자연 그리고 예술이 공존하는 예술복합공간’을 실현하고자 한다."
2894914,39,가나안국수,20221103152309,20250418143546,,,"<a href=""http://www.xn--o39a20ar3ebs0asud.kr/"" target=""_blank"" title=""새창 : 가나안국수 홈페이지로 이동"">http://www.가나안국수.kr/</a>",http://tong.visitkorea.or.kr/cms/resource/91/2894891_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2894891_image3_1.jpg,Type3,31,2,41,281,FD,FD01,FD010100,A05,A0502,A05020100,경기도 고양시 덕양구 행주로15번길 16,,10440,126.8278865647,37.6009169989,6,"경기도 고양시 덕양구 행주로에 위치한 가나안국수는 내산 사골, 닭고기, 사태, 멸치로 최고의 육수를 내어 건강과 맛을 최고로 하는 국수메뉴를 다양하게 판매하고 있다. 명품 잔치국수, 초계국수, 장칼국수에서 다양한 국수요리를 즐길 수 있는 곳이다. 또, 매일 아침 겉절이 김치를 직접 담가 손님들에게 제공한다."
2831563,39,가나안장어마을,20220803105028,20250421133912,,,,http://tong.visitkorea.or.kr/cms/resource/54/2831554_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/2831554_image3_1.JPG,Type3,31,2,41,285,FD,FD01,FD010100,A05,A0502,A05020100,경기도 고양시 일산동구 애니골길 54 (풍동),,10301,126.7921100429,37.6721941761,6,"가나안장어마을은 고양시 일산동구 풍동 애니골에 자리 잡고 있다. 가나안장어마을은 애니골 먹자골목 안 터줏대감 가나안덕 외식타운에 포함되어 있다. 가나안 외식타운에는 가나안덕 신관과 본관, 가나안장어마을, 버섯칼국수, 카페 등을 운영하고 있다, 가나안덕 외식타운이란 이름답게 넓은 주차 공간이 마련되어 있다. 식사 후 즐길 거리가 준비되어 있어 가족, 단체 등이 많이 찾고 있다. 국내산 민물장어로 두툼한 장어를 주문과 동시에 손질해서 제공되며 맛있게 굽는 방법을 보면서 구워 먹으면 된다. 장어구이 손님들에게는 마지막에 뚝배기 장어죽이 제공된다. 주변에 가볼 만한 곳은 일산호수공원과 고봉산 등이 있다."
125462,12,가덕산,20030331090000,20251120135219,,,,http://tong.visitkorea.or.kr/cms/resource/24/1900124_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/1900124_image3_1.jpg,Type3,31,1,41,820,NA,NA01,NA010100,A01,A0101,A01010400,경기도 가평군 북면 목동리,산 1-1,12403,127.6121190936,37.9405556371,6,"경기 제1봉인 화악산(1,468m)에서 동남쪽으로 뻗어 내린 능선 위에 솟아있는 가덕산(858m)은 몽덕산과 북배산의 능선 중간에 자리 잡고 있다. 사계절 아름다운 이곳은 봄에는 온갖 꽃들과 새순이 피어나고, 여름에는 초록색 수풀과 함께 유난히 많은 싸리나무가 보랏빛 꽃을 피워 그 아름다움에 반하게 된다. 가을에는 초록빛 초원 지대가 억새군락을 이뤄 출렁이는 물결을 볼 수 있고 겨울에는 눈 내린 설경이 일품이다. 가덕산 정상에 오르면 서북 방향으로 화악산이 보이고, 남쪽으로는 목동 평야와 북배산과 계관산 너머 삼악산으로 이어지는 능선이 한눈에 들어온다. 동쪽으로는 의암호와 춘천호, 그리고 호반의 도시 춘천시가 보인다."
2846052,39,가드너스,20220830150043,20250728112948,,,"<a href=""https://www.instagram.com/gardenus_/"" target=""_blank"" title=""새창 : 가드너스 인스타그램으로 이동"">https://www.instagram.com/gardenus_/</a>",http://tong.visitkorea.or.kr/cms/resource/27/2846027_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/2846027_image3_1.JPG,Type3,31,27,41,480,FD,FD05,FD050100,A05,A0502,A05020900,경기도 파주시 탄현면 헤이리마을길 59-52,,10859,126.6961266153,37.7897037711,6,"가드너스는 경기도 파주시 헤이리 예술마을에 위치한 대형 베이커리 카페이다. 외관 및 내부에서 모던한 분위기를 느낄 수 있으며, 공간마다 작은 테마처럼 각각 다른 분위기로 꾸며져 있어 원하는 좌석을 선택하여 앉아보는 재미가 있다. 또한, 루프탑과 서쪽에 있는 좌식 테이블에서는 지는 노을을 감상할 수 있다. 가드너스는 유기농 밀가루를 사용하여 당일에 빵을 만들고, 단맛과 신맛, 그리고 바디감이 적절하게 밸런싱 된 원두를 선택할 수 있도록 했다."
2901496,39,가드니아 제빵소 본점,20221108134213,20250430105211,,,,http://tong.visitkorea.or.kr/cms/resource/91/2901491_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2901491_image3_1.jpg,Type3,31,6,41,310,FD,FD03,FD030100,A05,A0502,A05020900,경기도 구리시 동구릉로460번길 114 (사노동),,11906,127.1445094162,37.6379322725,6,"﻿ 가드니아 제빵소 본점은 구리시 사노동에 있는 베이커리 카페이다. 자차 이용 시 내비게이션을 구리 왕숙 체육공원을 찍고 가면 힘든 골목길로 가지 않고 편한 큰길로 안내가 된다. 주차는 카페 건물 앞 주차장이 넓어 편리하다. 2층의 단독 건물을 다 쓰고 있는 카페는 매장이 넓고 층고가 높아 개방감이 있다. 2층엔 테라스 자리도 있어 날씨 좋은 날 이용하면 남양주 다산 신도시 등이 한눈에 내려다 보인다. 유기농 밀가루, 천연 발효종, 고급 프랑스 버터를 사용하여 매일 굽는 빵 맛이 좋아 사람들의 발길이 끊이지 않는다.
※ 반려동물 동반가능"
798518,39,가든갤러리,20090907191546,20260417133837,,,,https://tong.visitkorea.or.kr/cms/resource/99/3568799_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/99/3568799_image3_1.jpg,Type3,,,41,360,FD,FD02,FD020300,,,,경기도 남양주시 강변북로632번길 57-28 (수석동),,12268,127.17413422606717,37.58774484472282,6,"가든갤러리는 남양주에 위치한 이탈리안 레스토랑이다. 자작나무 정원과 생화 장식이 어우러진 감성적인 인테리어가 돋보인다. 가든갤러리는 블루리본 서베이에 13년 연속 등재되었으며, 코카콜라 레드리본 맛집으로도 인정받았다. 또한 드라마 ,  등의 촬영지로도 알려져 있다. 또한 정원에서 야외웨딩과 스몰웨딩 등 다양한 행사를 진행할 수 있다. 서울 근교에 있어 찾아오기 쉬우며, 자작나무 정원과 빈티지 감성의 아늑한 실내는 데이트나 지인, 혹은 가족과 모처럼의 식사 시간을 기분 좋게 해 준다. 
가든갤러리의 대표메뉴는 텍사스 바비큐 폭립과 비프립이다. 20시간의 수비드 과정을 거쳐 한정 수량만 준비하고 있다. 이외에도 파스타, 리조또, 피자 등 다양한 양식메뉴를 맛볼 수 있다."
2627867,32,가람나무,20191021220426,20241126104303,,,"<a href=""http://www.karamnamu.com/ ""_blank"">http://www.karamnamu.com/ </a>",,,,31,27,41,480,AC,AC03,AC030200,B02,B0201,B02011600,경기도 파주시 소라지로327번길 126-21,(송촌동),10863,126.6891949040,37.7547493903,,"흙, 나무, 돌, 그리고 강바람으로 지은 집. 펜션의 이름이 가람나무인 이유는 펜션 앞에 임진강이 흐르고 나무 향이 가득한 집이기 때문이다. 가람나무펜션은 파주시 송촌동에 위치해 있다. 행정 주소가 바뀌기 전에는 ‘파주시 교하읍 송촌리’로 불리었는데 ‘교하’라는 이름은 한강과 임진강이 만난다고 하여 붙여졌다고 한다. 과거 행정 명을 통해서도 알 수 있듯이 펜션 앞으로 임진강이 흐르고 있고 그 임진강을 따라 통일의 염원을 담고 있는 자유로가 나 있다."
3045767,28,가람수상스키,20231122100649,20260408150146,,,,https://tong.visitkorea.or.kr/cms/resource/53/3045753_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/53/3045753_image3_1.JPG,Type3,,,41,360,LS,LS02,LS021400,,,,경기도 남양주시 화도읍 북한강로1570번길 16,,12193,127.36800164257528,37.64767052809853,6,"가람수상스키는 경기도 남양주시 금남리에 위치한 수상레저 시설이다. 서울에서 30분 거리로 멀리 가지 않고도 수상스포츠를 경험할 수 있다. 이곳은 수상스키와 웨이크보드, 웨이크서핑을 즐길 수 있으며 웨이크서핑을 위한 최신형 보트를 완비하고 있다. 아름다운 북한강 뷰를 감상하기 좋은 2층에는 카페보다 더 분위기 있는 VIP라운지가 있어 휴양지에 온 듯한 기분을 느낄 수 있으며 태닝존과 포토존이 곳곳에 있어 다양한 즐거움을 누릴 수 있다. 당일 예약과 전화 예약, 당일 결제도 가능하다. 이용 요금과 강습에 관한 내용은 홈페이지를 통해 확인하면 된다."
2726655,28,가래골농원캠핑장,20210722181010,20250805131336,,,"<a href=""http://www.garaegol.com/"" target=""_blank"" title=""새창 : 가래골캠핑장 사이트로 이동"">http://www.garaegol.com/</a>",http://tong.visitkorea.or.kr/cms/resource/22/2726922_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2726922_image3_1.jpg,Type3,31,29,41,650,AC,AC05,AC050100,A03,A0302,A03021700,경기도 포천시 창수면 포천로2811번길 178,,11134,127.1571618898,37.9931883432,6,"가래골농원 캠핑장은 포천시 창수면에 위치한 종현산 자락에 있다. 총면적 148,000m² 달하는 대지에 가족농원 캠핑장을 모토로 조성되었다. 텃밭과 동물농장이 구비돼 있으며, 펜션과 오토캠핑장으로 구성돼 있는 복합 캠핑장이다. 이곳은 테마별로 조성된 사이트를 가지고 있는데, 잣나무와 소나무가 우거져있는 소나무 사이트와 팔각정, 그리고 제한된 구역이긴 하지만 반려견 동반입장이 가능한 알프스 사이트가 있다. 캠핑장 입구에서부터 눈길을 끄는 인공연못과 조형물들은 잘 가꾸어진 정원 속에서 빛을 발한다. 뿐만 아니라 이곳은 놀거리와 체험거리가 많은 캠핑장이다. 산책로가 잘 조성되어 있어 맑은 공기를 마시며 산책을 즐기기에도 좋다."
2748296,38,가래비시장(가납시장),20210924015015,20250620113641,,,,http://tong.visitkorea.or.kr/cms/resource/71/2748271_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2748271_image2_1.jpg,Type3,31,18,41,630,SH,SH06,SH060200,A04,A0401,A04010200,경기도 양주시 광적면 가납리 738-29,,,126.9841492836,37.8238327341,6,"가래비시장은 서울과도 가까운 양주에 사람 사는 냄새가 물씬 나는 시골 민속 장날의 구수한 모습이 남아 있는 전통 오일장 시장으로 끝자리가 4, 9일 날 장이 선다. 광적면 가납리에 있어 가납 시장으로 불리기도 하며, 안에 대규모 공영주차장이 무료로 운영되고 있어 가족과 나들이하기에 좋은 장소다. 구역별로 생선, 잡화, 야채 등 품목별로 나뉘어 있고 다양한 먹거리도 판매하고 있어 옛 시골 장터의 추억을 느끼며 즐길 수 있다."
125463,12,가리산(포천),20030725090000,20251204161652,,,,,,,31,29,41,650,NA,NA01,NA010100,A01,A0101,A01010400,경기도 포천시 이동면 도평리,,11110,127.4080179724,38.0450563404,6,"가리산(774m)은 백운산과 국망봉 사이에 위치한 신로봉에서 서쪽인 포천시 이동면 장암리 방면으로 뻗어 내린 능선상에 우뚝 솟아 있다. 사람들의 인적이 드물어서 풀들이 많아 헤치고 나가는데 어려움이 있는 산이지만 정상에서의 조망은 아름답다. 경기 제일의 고봉인 화악산, 명지산에 이어 세 번째로 높은 국망봉과 신로봉으로 이어지는 능선이 파노라마를 이룬다."
