contentid,contenttypeid,heritage1,heritage2,heritage3,infocenter,opendate,restdate,expguide,expagerange,accomcount,useseason,usetime,parking,chkbabycarriage,chkpet,chkcreditcard
3482667,12,0,0,0,031-828-2415,,연중무휴,,,,,상시 개방,불가능,,,
129194,12,0,0,0,0507-1437-0500,,"매주 월요일 (단, 공휴일 제외)",도자기 화분 만들기 / 아티스트의 보냉백 / 연필꽂이 만들기 / 아티스트의 에코백 만들기 / 에어포켓 등,,,,"[평일]<br>
- 10:00~18:00 (입장마감 17:00)<br>
[주말 및 공휴일]<br>
- 4월~9월 10:00~19:00 (입장마감 18:00)<br>
- 10월~3월 10:00~18:00 (입장마감 17:00)",가능,,,
2894914,39,,,,,,,,,,,,,,,
2831563,39,,,,,,,,,,,,,,,
125462,12,0,0,0,가평군청 산림과 031-580-2486,,연중무휴,,,,,상시 개방,,,,
2846052,39,,,,,,,,,,,,,,,
2901496,39,,,,,,,,,,,,,,,
798518,39,,,,,,,,,,,,,,,
2627867,32,,,,,,,,,,,,,,,
3045767,28,,,,,,,,,,,,,,,
2748296,38,,,,,,,,,,,,,,,
125463,12,0,0,0,포천시청 산림공원과 031-538-3342,,연중무휴,,,,,상시 개방,,,,
2832447,39,,,,,,,,,,,,,,,
2525533,39,,,,,,,,,,,,,,,
2855482,39,,,,,,,,,,,,,,,
2922967,39,,,,,,,,,,,,,,,
2891928,39,,,,,,,,,,,,,,,
2875310,39,,,,,,,,,,,,,,,
2874859,39,,,,,,,,,,,,,,,
3102216,32,,,,,,,,,,,,,,,
630461,12,0,0,0,031-582-3115,,매주 일요일,"차조강정 체험 / 사과 향기청 체험 / 목공예 체험 등<br>
※ 체험은 계절 및 마을 사정에 따라 변동 가능",체험 별 상이함,,,※ 모든 체험은 사전 예약제로 운영되므로 방문 전 예약 필수,가능,불가,,없음
129285,12,0,0,0,031-582-9334,,연중무휴,"계절 체험 / 요리 체험 / 만들기 체험 등<br>
※ 자세한 안내는 홈페이지 및 전화 문의 요망",,,,"[체험시간] <br>
10:00~15:00<br>
[숙박] <br>
14:00~익일 11:00",가능<br>요금 (무료),없음,,없음
1200950,12,0,0,0,이천보 고가 031-585-0846,,전화 문의,,,,,전화 문의,가능,,,
129407,12,0,0,0,031-585-6969,,연중무휴<br>※ 마을 사정에 따라 조정될 수 있으므로 자세한 사항은 홈페이지 참고 및 유선 문의,"잣공장견학 체험 / 잣송이까기 체험 / 잣음식 만들기 체험 / 잣산림욕 체험 등<br>
※ 체험비용 : 20,000원~<br>
※ 최소인원 : 10명 이상<br>
※ 계절 및 마을 사정에 따라 변동 가능하므로 홈페이지 참고 및 유선 문의",,,,※ 계절 및 마을 사정에 따라 변동 가능하므로 홈페이지 참고 및 유선 문의,가능,없음,,가능
132785,38,,,,,,,,,,,,,,,
1979670,32,,,,,,,,,,,,,,,
132786,38,,,,,,,,,,,,,,,
1104176,12,0,0,0,031-580-2214,,연중무휴,,,,,상시 개방,불가능,없음,,없음
3490945,15,,,,,,,,,,,,,,,
3077222,12,0,0,0,031-581-2246,,"매주 월요일(단, 월요일이 법정공휴일인 경우 다음날 휴관) / 1월 1일 / 설·추석 당일 / 보수공사 기간 중",,,,,10:00~17:30 (휴게시간 12:00~13:00 / 15:00~15:30),가능,,,
2781442,39,,,,,,,,,,,,,,,
2774105,39,,,,,,,,,,,,,,,
2792265,28,,,,,,,,,,,,,,,
130220,14,,,,,,,,,,,,,,,
129877,14,,,,,,,,,,,,,,,
2814152,32,,,,,,,,,,,,,,,
3512952,12,0,0,0,031-584-4477,,매월 둘째 수요일,썬코뉴어 먹이 체험 / 포유류 먹이 체험 / 올빼미 교감체험 / 시클리드 먹이체험 / 다양한 생태 설명회 등,"만 6세 이상 (단, 만 6세 이하는 부모님 동반하에 체험 가능)","2,000명",,"[평일]- 10:00~17:00 - 입장 마감 16:00[주말, 공휴일]- 10:00~18:00- 입장 마감 17:00",가능 (약 300대),,,
131810,28,,,,,,,,,,,,,,,
1201082,12,0,0,0,031-580-4320,,연중무휴,,,,,상시 개방,불가능,없음,,없음
2724858,39,,,,,,,,,,,,,,,
3018553,28,,,,,,,,,,,,,,,
1214552,39,,,,,,,,,,,,,,,
3083766,39,,,,,,,,,,,,,,,
3539194,12,0,0,0,031-585-7155,,연중무휴,청평호투어 / 섬섬투어 (남이섬 / 자라섬) / 달빛투어 (야간운항),전 연령,,,[청평호투어]- 1차 10:00~11:00- 2차 11:20~12:20- 3차 13:30~14:30- 4차 14:50~15:50- 5차 16:10~17:10,가능 (약 300대),,,
3006200,28,,,,,,,,,,,,,,,
3532761,32,,,,,,,,,,,,,,,
1283850,12,0,0,0,가평군청 복지기획팀 031-580-2214,,연중무휴,,,,,상시 개방,가능,,,
921096,12,0,0,0,"가평향교 031-582-1608
가평군청 문화유산팀 031-580-2063",,※ 관람 원할 경우 전화 문의 요망,,,,,※ 관람 원할 경우 전화 문의 요망,불가능,,,
2735333,39,,,,,,,,,,,,,,,
2850392,39,,,,,,,,,,,,,,,
3447845,12,0,0,0,,,,,,,,,,,,
3007381,12,0,0,0,구리시청 공원녹지과 031-550-2472,,연중무휴,,,,,상시 개방,가능,,,
2826592,39,,,,,,,,,,,,,,,
2853490,39,,,,,,,,,,,,,,,
2854711,39,,,,,,,,,,,,,,,
2873395,39,,,,,,,,,,,,,,,
133832,39,,,,,,,,,,,,,,,
2569511,12,0,0,0,031-950-1902,,연중무휴,,,,,09:00~18:00※ 자세한 사항은 전화문의 요망,가능,없음,,
125450,12,0,0,0,"감악산관리사무소 031-950-1902<br>
파주시청 산림정원과 031-940-4612",,연중무휴,,,,,"상시 개방<br>
※ 기상악화 시 출입금지",가능,,,
134877,39,,,,,,,,,,,,,,,
2846694,39,,,,,,,,,,,,,,,
2788258,39,,,,,,,,,,,,,,,
2891383,39,,,,,,,,,,,,,,,
1208943,39,,,,,,,,,,,,,,,
125481,12,0,0,0,산림경영팀 031-538-3341,,연중무휴,,,,,상시 개방,가능,없음,,없음
2774103,12,0,0,0,031-8008-6611,,매주 화요일,숲 해설 및 체험,,,,"[하절기 (4월~10월)] 06:00~18:00<br>
[동절기 (11월~3월)] 07:00~18:00",가능,없음,,없음
1201163,12,0,0,0,031-580-2063,,연중무휴,,,,,상시 개방,불가능,없음,,없음
2867328,39,,,,,,,,,,,,,,,
134729,39,,,,,,,,,,,,,,,
2654476,14,,,,,,,,,,,,,,,
749479,14,,,,,,,,,,,,,,,
4011059,38,,,,,,,,,,,,,,,
4025285,38,,,,,,,,,,,,,,,
2918486,38,,,,,,,,,,,,,,,
2918546,38,,,,,,,,,,,,,,,
2926529,38,,,,,,,,,,,,,,,
2918713,38,,,,,,,,,,,,,,,
3305424,38,,,,,,,,,,,,,,,
2874889,39,,,,,,,,,,,,,,,
2854724,39,,,,,,,,,,,,,,,
1214384,39,,,,,,,,,,,,,,,
2931661,38,,,,,,,,,,,,,,,
2925835,38,,,,,,,,,,,,,,,
3305429,38,,,,,,,,,,,,,,,
4012032,38,,,,,,,,,,,,,,,
2894215,38,,,,,,,,,,,,,,,
2762933,39,,,,,,,,,,,,,,,
3515742,12,0,0,0,의정부시 녹지산림과 031-828-4633,,연중무휴,,,,,상시 개방,불가능,,,
129195,12,0,0,0,1588-0554,,,,,,,"09:00~22:00<br>
※ 운영일 및 시간은 내부사정에 따라 변경 가능<br>
※ 설날 및 추석, 기타 연휴의 운영 일정은 홈페이지 공지사항 참조",가능,,,
2493039,14,,,,,,,,,,,,,,,
2763773,12,0,0,0,가평역 관광안내소 031-582-8830,,연중무휴,,,,,상시 개방,가능,,,
2875098,39,,,,,,,,,,,,,,,
2738740,32,,,,,,,,,,,,,,,
2738657,39,,,,,,,,,,,,,,,
3013802,28,,,,,,,,,,,,,,,
3022703,28,,,,,,,,,,,,,,,
2462674,12,0,0,0,031-550-2363,,연중무휴,고구려대장간마을에서 와당과 놀자 체험 / 아차산 지킴이 체험 / 고구려를 찾아라 체험 등,전 연령,,,"[하절기(3월~10월)]<br>
- 09:00~18:00 (입장 마감 17:00)<br>
[동절기(11월~02월)]<br>
- 09:00~17:00 (입장 마감 16:00)",가능,없음,,
3064998,12,0,0,0,0507-1443-1511,,연중무휴,,36개월 이상,,,"- 평일 10:00~17:00<br>
- 주말 및 공휴일 09:30~18:00",가능,,,
2845447,39,,,,,,,,,,,,,,,
2859634,39,,,,,,,,,,,,,,,
2616470,12,0,0,0,한탄강지질공원센터 031-538-3030,,연중무휴,,,,,상시 개방,,,,
3017976,28,,,,,,,,,,,,,,,
802182,39,,,,,,,,,,,,,,,
127163,12,0,0,0,연천군청 산림녹지과 031-839-2344,,연중무휴,,,,,상시 개방,가능,,,
3018261,12,0,0,0,031-834-2200,,연중무휴,,,,,- 입실 15:00- 퇴실 11:00,가능,,,
2764950,12,0,0,0,031-828-9888,,1월 1일 / 설·추석 연휴 /근로자의 날,,,,,06:00~22:00,불가능,없음,,없음
2784652,39,,,,,,,,,,,,,,,
2852837,39,,,,,,,,,,,,,,,
134597,39,,,,,,,,,,,,,,,
2854557,39,,,,,,,,,,,,,,,
2853483,39,,,,,,,,,,,,,,,
2854746,39,,,,,,,,,,,,,,,
125521,12,0,0,0,포천시청 관광과 031-538-3370,,연중무휴,,,,,상시 개방,가능,,,
2914808,12,0,0,0,포천관광정보센터 031-535-5068,,연중무휴,,,,,상시 개방,가능,,,
2733822,12,0,0,0,고양시청 녹지과 031-8075-4376,,연중무휴,,,,,상시 개방,가능,,,
2873185,39,,,,,,,,,,,,,,,
2893574,39,,,,,,,,,,,,,,,
2873219,39,,,,,,,,,,,,,,,
2891396,39,,,,,,,,,,,,,,,
3356049,39,,,,,,,,,,,,,,,
128139,12,0,0,0,고양시청 문화예술과 031-8075-3389,,연중무휴,,,,,상시 개방,가능,,,
3025858,15,,,,,,,,,,,,,,,
125549,12,0,0,0,고양특례시청 문화예술과 031-8075-3389,,연중무휴,,,,,상시 개방,가능,,,
125551,12,1,0,0,031-962-6009,,"매주 월요일<br>※ 매주 월요일 ※ 단, 월요일이 공휴일인 경우 개방하며, 그 다음 첫 번째 평일에 휴관",,,,,"[2월~5월] 09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)<br>
[9월~10월] 09:00~18:00 (입장마감 17:00)<br>
[11월~1월] 09:00~17:30 (입장마감 16:30)",가능,,,
125552,12,1,0,0,02-359-0090,,"매주 월요일(단, 월요일이 공휴일인 경우 개방하며 그 다음 첫 번째 평일에 휴관)",,,,,[2월~5월/9월~10월]- 07:00~18:00- 입장 마감 17:00[6월~8월]- 07:00~18:30- 입장 마감 17:30[11월~1월]- 07:00~17:30- 입장 마감 16:30※ 기관 사정에 따라 관람 시간이 단축 및 조정이 있을 수 있으므로 자세한 사항은 홈페이지 참조 및 전화 문의 요망,가능,,,
1105623,14,,,,,,,,,,,,,,,
254860,14,,,,,,,,,,,,,,,
130549,14,,,,,,,,,,,,,,,
2736410,12,0,0,0,고양시청 공원관리과 031-8075-4339,1999년 3월,연중무휴,,,,,- 1회차 10:00~15:00- 2회차 16:00~21:00※ 자세한 사항은 전화문의 요망,가능,,,
916103,14,,,,,,,,,,,,,,,
1725993,15,,,,,,,,,,,,,,,
2946746,12,0,0,0,0507-1377-8396,,,,,,,"- 09:00~19:00<br>
- 휴게시간 12:00~13:00",,,,
2456640,12,0,0,0,고양관광정보센터 031-905-8396,,연중무휴,,,,,상시 개방,가능,,,
