기준연월,지역명,관광소비액(백만원),전국 관광소비액(백만원),전국 대비 관광소비율
202501,경기도 남양주시,107611.0,1.2871106E7,0.8
202502,경기도 남양주시,92851.0,1.1298041E7,0.8
202503,경기도 남양주시,121465.0,1.3264221E7,0.9
202504,경기도 남양주시,112493.0,1.2623726E7,0.9
202505,경기도 남양주시,130599.0,1.4325977E7,0.9
202506,경기도 남양주시,115552.0,1.2789165E7,0.9
202507,경기도 남양주시,118524.0,1.3472292E7,0.9
202508,경기도 남양주시,123453.0,1.392316E7,0.9
202509,경기도 남양주시,112863.0,1.2833508E7,0.9
202510,경기도 남양주시,136535.0,1.462208E7,0.9
202511,경기도 남양주시,128978.0,1.4197551E7,0.9
202512,경기도 남양주시,121163.0,1.4479222E7,0.8
