순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,남양주시,홍유릉,202501,27,32.0
1,경기도,남양주시,홍유릉,202502,2,32.0
1,경기도,남양주시,홍유릉,202503,3,32.0
1,경기도,남양주시,홍유릉,202504,-,32.0
1,경기도,남양주시,홍유릉,202505,-,32.0
1,경기도,남양주시,홍유릉,202506,-,32.0
1,경기도,남양주시,홍유릉,202507,-,32.0
1,경기도,남양주시,홍유릉,202508,-,32.0
1,경기도,남양주시,홍유릉,202509,-,32.0
1,경기도,남양주시,홍유릉,202510,-,32.0
1,경기도,남양주시,홍유릉,202511,-,32.0
1,경기도,남양주시,홍유릉,202512,-,32.0
2,경기도,남양주시,양주컨트리클럽,202501,0,13.0
2,경기도,남양주시,양주컨트리클럽,202502,0,13.0
2,경기도,남양주시,양주컨트리클럽,202503,13,13.0
2,경기도,남양주시,양주컨트리클럽,202504,-,13.0
2,경기도,남양주시,양주컨트리클럽,202505,-,13.0
2,경기도,남양주시,양주컨트리클럽,202506,-,13.0
2,경기도,남양주시,양주컨트리클럽,202507,-,13.0
2,경기도,남양주시,양주컨트리클럽,202508,-,13.0
2,경기도,남양주시,양주컨트리클럽,202509,-,13.0
2,경기도,남양주시,양주컨트리클럽,202510,-,13.0
2,경기도,남양주시,양주컨트리클럽,202511,-,13.0
2,경기도,남양주시,양주컨트리클럽,202512,-,13.0
3,경기도,남양주시,광릉,202501,2,8.0
3,경기도,남양주시,광릉,202502,0,8.0
3,경기도,남양주시,광릉,202503,6,8.0
3,경기도,남양주시,광릉,202504,-,8.0
3,경기도,남양주시,광릉,202505,-,8.0
3,경기도,남양주시,광릉,202506,-,8.0
3,경기도,남양주시,광릉,202507,-,8.0
3,경기도,남양주시,광릉,202508,-,8.0
3,경기도,남양주시,광릉,202509,-,8.0
3,경기도,남양주시,광릉,202510,-,8.0
3,경기도,남양주시,광릉,202511,-,8.0
3,경기도,남양주시,광릉,202512,-,8.0
4,경기도,남양주시,서호미술관,202501,1,1.0
4,경기도,남양주시,서호미술관,202502,0,1.0
4,경기도,남양주시,서호미술관,202503,0,1.0
4,경기도,남양주시,서호미술관,202504,-,1.0
4,경기도,남양주시,서호미술관,202505,-,1.0
4,경기도,남양주시,서호미술관,202506,-,1.0
4,경기도,남양주시,서호미술관,202507,-,1.0
4,경기도,남양주시,서호미술관,202508,-,1.0
4,경기도,남양주시,서호미술관,202509,-,1.0
4,경기도,남양주시,서호미술관,202510,-,1.0
4,경기도,남양주시,서호미술관,202511,-,1.0
4,경기도,남양주시,서호미술관,202512,-,1.0
